IntegralExpB0	IntegralExpB0AtOverQtt	IntegralExpB0Test	ax	ay	Gx	Gy	mu	T
1.000000011511313	1.730765620282154	0.9447672448600576	0.01	0.01	0.4	0.4	3.4615892527297643	9.999999999999258e-05
1.0000000006394179	1.730794467295428	0.9964148809926515	0.01	0.01	0.6	0.6	3.4615892527297643	9.999999999999258e-05
0.9999999999992185	1.7307945772248092	0.9999999581544735	0.01	0.01	1.0	1.0	3.4615892527297643	9.999999999999258e-05
1.0000000101786028	1.729510716134598	0.9697666083795934	0.01	0.01	0.4000000000000001	0.4000000000000001	3.4590787137500962	0.0001999999999999987
1.0000000006113714	1.7295390590112538	0.9976716568207293	0.01	0.01	0.6	0.6	3.4590787137500962	0.0001999999999999987
0.9999999999986079	1.7295392610466362	0.9999999566234102	0.01	0.01	1.0	1.0	3.4590787137500962	0.0001999999999999987
1.000000009131583	1.728245408691756	0.9544488759494314	0.01	0.01	0.4	0.4	3.456569998194432	0.0003000000000000091
1.0000000005971508	1.728284542707318	0.9985671775339053	0.01	0.01	0.6	0.6	3.456569998194432	0.0003000000000000091
0.9999999999986184	1.7282848586476016	0.999999955115132	0.01	0.01	1.0	1.0	3.456569998194432	0.0003000000000000091
1.0000000066020063	1.7268864117707265	0.800640763153232	0.01	0.01	0.4000000000000001	0.4000000000000001	3.4540631060555733	0.0003999999999999987
1.0000000005953193	1.7270309119322014	0.9990831609536238	0.01	0.01	0.6	0.6	3.4540631060555733	0.0003999999999999987
0.9999999999985761	1.7270313697239423	0.9999999536313557	0.01	0.01	1.0	1.0	3.4540631060555733	0.0003999999999999987
1.00000001374928	1.7257677084715783	0.860351610767225	0.01	0.01	0.4	0.4	3.451558037323441	0.0005000000000000066
1.0000000006043683	1.7257781825867125	0.9993749522218155	0.01	0.01	0.6	0.6	3.451558037323441	0.0005000000000000066
0.9999999999985355	1.7257787940351295	0.9999999521721498	0.01	0.01	1.0	1.0	3.451558037323441	0.0005000000000000066
1.0000000119587145	1.7245248449433224	0.9744264128836038	0.01	0.01	0.4000000000000001	0.4000000000000001	3.4490547919850796	0.0006000000000000095
1.0000000006228764	1.724526365837967	0.9995470255880965	0.01	0.01	0.6	0.6	3.4490547919850796	0.0006000000000000095
0.9999999999984996	1.7245271313863653	0.9999999507362844	0.01	0.01	1.0	1.0	3.4490547919850796	0.0006000000000000095
1.0000000285465298	1.7220270645035864	0.9421873099689415	0.01	0.01	0.2	0.2	3.4440537714234423	0.0008000000000000014
1.000000012481365	1.7220191326697796	0.9947568261158233	0.01	0.01	0.4	0.4	3.4440537714234423	0.0008000000000000014
1.0000000006838716	1.7220254858130166	0.9997248738631063	0.01	0.01	0.6	0.6	3.4440537714234423	0.0008000000000000014
0.9999999999984398	1.722026544592896	0.9999999479270656	0.01	0.01	1.0	1.0	3.4440537714234423	0.0008000000000000014
1.000000004224127	1.719529597294566	0.9997518945216666	0.01	0.01	0.1	0.1	3.4390600442094232	0.000999999999999994
1.0000000249394743	1.7195165001066426	0.9979755551579281	0.01	0.01	0.2	0.2	3.4390600442094232	0.000999999999999994
1.0000000137179583	1.7195198657779078	0.9976833732333567	0.01	0.01	0.4	0.4	3.4390600442094232	0.000999999999999994
1.0000000007714205	1.7195282799785996	0.9998085616462273	0.01	0.01	0.6	0.6	3.4390600442094232	0.000999999999999994
0.9999999999983946	1.7195296083358746	0.9999999451876304	0.01	0.01	1.0	1.0	3.4390600442094232	0.000999999999999994
1.0000000042230754	1.7170369826482852	0.9999147154090595	0.01	0.01	0.1	0.1	3.434073610135725	0.0011999999999999962
1.000000025882554	1.7170223473417996	0.9992115440026794	0.01	0.01	0.2	0.2	3.434073610135725	0.0011999999999999962
1.0000000151602972	1.7170251940176688	0.9986277360127117	0.01	0.01	0.4	0.4	3.434073610135725	0.0011999999999999962
1.0000000008810863	1.717034743832005	0.9998545597622083	0.01	0.01	0.6	0.6	3.434073610135725	0.0011999999999999962
0.9999999999983656	1.7170363218616187	0.9999999425029283	0.01	0.01	1.0	1.0	3.434073610135725	0.0011999999999999962
1.0000000042440367	1.7145481346113425	0.9999462327032469	0.01	0.01	0.1	0.1	3.429094468948998	0.0014000000000000089
1.000000026837093	1.714532640611242	0.9995308695759209	0.01	0.01	0.2	0.2	3.429094468948998	0.0014000000000000089
1.0000000166827252	1.7145345746521294	0.9990568054409839	0.01	0.01	0.4	0.4	3.429094468948998	0.0014000000000000089
1.0000000010093673	1.714544872403426	0.9998828373627895	0.01	0.01	0.6	0.6	3.429094468948998	0.0014000000000000089
0.9999999999983672	1.7145466845697512	0.9999999398603575	0.01	0.01	1.0	1.0	3.429094468948998	0.0014000000000000089
1.000000004261696	1.7120629211348337	0.999959216741106	0.01	0.01	0.1	0.1	3.4241226203498476	0.0016000000000000105
1.0000000276883465	1.7120467949963827	0.9996686415317265	0.01	0.01	0.2	0.2	3.4241226203498476	0.0016000000000000105
1.0000000182327131	1.712047815650333	0.9992925478896013	0.01	0.01	0.4	0.4	3.4241226203498476	0.0016000000000000105
1.00000000115408	1.7120586618849198	0.9999017014548384	0.01	0.01	0.6	0.6	3.4241226203498476	0.0016000000000000105
0.9999999999983786	1.7120606959537983	0.9999999372497178	0.01	0.01	1.0	1.0	3.4241226203498476	0.0016000000000000105
1.0000000042742292	1.7095813248312925	0.9999663506382138	0.01	0.01	0.1	0.1	3.4191580639928443	0.0018000000000000032
1.0000000284360324	1.7095646773659066	0.9997438952993771	0.01	0.01	0.2	0.2	3.4191580639928443	0.0018000000000000032
