SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	Ttt	Txx	Tyy	rho	EInternal	T	Ax	Ay	Gx	Gy	mu
833.6489014405458	3.4561601456449287e-07	69.85709677641456	2.9001348410570387e-08	69.85709677674801	2.8924905063206597e-08	5.860836384419067	2.4269672735065385e-09	0	0.3356758029444441	1.4068587484853798	-0.24672174188709173	0.12342232707726851	0.1234223159334402	0.335675818298601	0.24672174188709173	0.019999999999999993	0.1	0.1	0.4	0.4	2.997725422294234
211.02614052313385	1.0248681475932693e-08	17.657088632062244	8.614181959671757e-10	17.657088632040807	8.561687303156342e-10	1.4844712055000369	7.196969528608222e-11	0	0.3419117825517756	1.4321186925284861	-0.2638537693908979	0.1321773229177027	0.13217727704876261	0.34191183883541876	0.2638537693908979	0.019999999999999993	0.2	0.2	0.4	0.4	2.997725422294234
95.85722154897833	2.9628773113977836e-10	8.001825614665469	2.4962170383122164e-11	8.001825614825282	2.8855492875842998e-11	0.675058338306607	2.431778239014162e-12	0	0.35219967615943193	1.473687811023116	-0.29264413425341035	0.14690246430106574	0.14690235638526458	0.3521997838365586	0.29264413425341035	0.019999999999999993	0.3	0.3	0.4	0.4	2.997725422294234
55.65050985051052	1.5349455413152211e-10	4.631415369612886	1.2828091682332475e-11	4.631415370072951	1.542360606616396e-11	0.3925842141261146	1.2872066662314691e-12	0	0.366394228459684	1.5308593155565868	-0.3334150821853683	0.1677802190471334	0.1677800152251896	0.3663943735137696	0.3334150821853683	0.019999999999999993	0.4	0.4	0.4	0.4	2.997725422294234
37.09736606526368	5.035354948255572e-09	3.076437973188499	4.3098871059252066e-10	3.076437974057215	3.122742796083979e-10	0.26232893197536716	2.6566240338175716e-11	0	0.38431743903242355	1.6028054974704702	-0.3865722408835611	0.19504151245601428	0.1950411694045577	0.3843175741712082	0.3865722408835611	0.019999999999999993	0.5	0.5	0.4	0.4	2.997725422294234
27.03318061310249	5.3475207691300046e-11	2.2331454118843697	4.366683696572781e-12	2.2331454134198387	4.562993356738991e-12	0.1917503963525453	3.7499489783737825e-13	0	0.4057781681423075	1.6886869193523864	-0.45258817369176885	0.22895656519478272	0.22895602661924314	0.40577820447729956	0.45258817369176885	0.019999999999999993	0.6	0.6	0.4	0.4	2.997725422294234
20.946970831573903	2.502243245527535e-10	1.7233279785921358	2.1790795854997e-11	1.723327980944063	1.6638266025591544e-11	0.14913774249129394	1.4509701681059063e-12	0	0.43058682723362196	1.7877264825756027	-0.5319954270688013	0.2698308123431818	0.2698300049966413	0.43058662630487626	0.5319954270688013	0.019999999999999993	0.7	0.7	0.4	0.4	2.997725422294234
16.958529464492386	1.677883335700536e-11	1.3893566474333352	1.4298658887964555e-12	1.3893566508040696	2.537365005278075e-12	0.12127578891383158	2.1850670000128538e-13	0	0.4585621750163114	1.8992396503613957	-0.625383996655059	0.31800333122199304	0.31800216081014976	0.45856154084254086	0.625383996655059	0.019999999999999993	0.8	0.8	0.4	0.4	2.997725422294234
14.174174988448026	2.5621925431798087e-11	1.1563222349945763	2.26079373448273e-12	1.156322239638771	3.33485868844905e-12	0.10188632054104278	2.9999001249543917e-13	0	0.489531342573096	2.0226336655519597	-0.7334000581186085	0.37384611270693513	0.37384445950693085	0.48953001327575857	0.7334000581186085	0.019999999999999993	0.9	0.9	0.4	0.4	2.997725422294234
12.126645233875593	1.0710786112628548e-11	0.985069300928239	9.039707316452686e-13	0.9850693071431679	5.59587584310044e-12	0.0876899738293588	5.019770289190119e-13	0	0.5233257723724558	2.157393781595879	-0.8567457532613683	0.4377640129886046	0.4377617276895675	0.5233234109828077	0.8567457532613683	0.019999999999999993	1.0	1.0	0.4	0.4	2.997725422294234
10.552897744948059	8.905518078802149e-12	0.8535616625690371	7.954927046335768e-13	0.8535616707056273	4.724796671681357e-13	0.07684364701701468	4.5242759337239684e-14	0	0.5597752505800635	2.303069643583268	-0.9961811562621452	0.5101959332901491	0.5101928330793533	0.5597714345719347	0.9961811562621452	0.019999999999999993	1.1	1.1	0.4	0.4	2.997725422294234
9.295624582199514	3.3515073624461544e-11	0.7486210554959403	3.1495612869562254e-12	0.7486210659654713	3.0502743589327054e-12	0.06824783375253628	2.8697061677156244e-13	0	0.5987011887170796	2.459269462713908	-1.1525295567994474	0.5916178083484958	0.5916136736882871	0.5986953971965614	1.1525295567994474	0.019999999999999993	1.2	1.2	0.4	0.4	2.997725422294234
8.2557832774948	1.3779178072896392e-12	0.6619424045366411	1.365714671979422e-13	0.6619424178149009	1.4948740616893544e-13	0.061212709674257675	1.2045388310889329e-14	0	0.6399096185147415	2.6256676891028556	-1.3266867630544419	0.6825477799185409	0.6825423522381497	0.6399012143972718	1.3266867630544419	0.019999999999999993	1.3	1.3	0.4	0.4	2.997725422294234
7.368192671899542	2.2376832896919008e-13	0.588040047405435	1.992411902901717e-14	0.5880400640536025	2.9485536580961503e-13	0.055286252992459956	2.1797993908478006e-14	0	0.6831841552647991	2.8020340469696725	-1.5196346313440618	0.7835536862187783	0.7835466673294731	0.6831723562672284	1.5196346313440618	0.019999999999999993	1.4	1.4	0.4	0.4	2.997725422294234
