SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	Ttt	Txx	Tyy	rho	EInternal	T	Ax	Ay	Gx	Gy	mu
282173.1137162859	0.0002098789441425865	8106.1740875958885	6.029356730245157e-06	8106.1740876034755	6.031431320831228e-06	232.87226181585686	1.73269635641479e-07	0	0.3048386429559473	1.1676357198645444	-0.2091008323900236	0.1045512898034329	0.1045512898111817	0.3048386469734133	0.2091008323900236	0.007499999999999994	0.01	0.01	0.1	0.1	3.2807306622703085
279526.60237186146	0.00019188085137967044	10902.432912529795	7.483992092460668e-06	10902.432912513308	7.468636423255928e-06	425.2313291298261	2.9130170143903194e-07	0	0.31040634964307023	1.2106780237624757	-0.2150459932705265	0.10752387107880904	0.1075238711263468	0.3104063520889213	0.2150459932705265	0.009999999999999995	0.01	0.01	0.1	0.1	3.2218793866476236
274844.5266153847	0.0003637554928170658	13644.208576300514	1.8058107075027178e-05	13644.208576286615	1.80724163640151e-05	677.3469616994187	8.971785463995724e-07	0	0.3160682723745901	1.255247682135187	-0.22121016869734994	0.1106059591235396	0.11060595915088113	0.31606827392087233	0.22121016869734994	0.012499999999999995	0.01	0.01	0.1	0.1	3.1641587252811654
268308.6616221686	0.00035150857701309084	16274.789094104806	2.1321523831698654e-05	16274.789094054368	2.1359018201760195e-05	987.182991710166	1.2955780195347166e-06	0	0.3218239968767032	1.3013815677640932	-0.2276010868577489	0.11380141885737917	0.11380141885917515	0.3218239978604609	0.2276010868577489	0.015000000000000003	0.01	0.01	0.10000000000000002	0.10000000000000002	3.1075637029740606
260187.27935880297	0.0008230151258819353	18747.200615156667	5.9300673275224964e-05	18747.200615195088	5.9256289557375205e-05	1350.7919473865284	4.269591043722006e-06	0	0.32767302064079096	1.3491162535332737	-0.23422666094079414	0.11711420619015007	0.117114206227818	0.32767302125224057	0.23422666094079414	0.0175	0.01	0.01	0.1	0.1	3.052088288289314
250800.00093347504	2.501470640978638e-06	21026.88996240572	2.097171801981624e-07	21026.889962410143	2.340813558640688e-07	1762.8862155043032	1.9624979064305496e-08	0	0.3336147554361447	1.3984879572790043	-0.24109498559672554	0.12054836898298305	0.1205483689729465	0.33361475579170197	0.24109498559672554	0.019999999999999997	0.01	0.01	0.1	0.1	2.997725422294234
131245.91892894002	0.0004796622598174217	33958.840917583635	0.00012410930769731786	33958.840917416725	0.00012409618565293806	8786.647807071078	3.2109022408092824e-05	0	0.4118304232583401	2.131126432914345	-0.3456341046664945	0.17281792973736293	0.17281792987417513	0.4118304230067618	0.3456341046664945	0.05	0.01	0.01	0.1	0.1	2.428350958106928
105635.5380643812	0.00012848348863225972	385.99311546537916	4.694842959834528e-07	385.9931154666444	4.679557041821724e-07	1.4104353360871078	1.7099304522614498e-09	0	0.2908040998748411	1.0626021325446156	-0.1946143944417868	0.09730799797980352	0.09730799797405522	0.29080416804520764	0.1946143944417868	0.000999999999999994	0.01	0.01	0.2	0.2	3.4390600442094232
102903.68297014633	6.696851188471443e-05	451.8683725453868	2.940735247526759e-07	451.8683725452769	2.9530006641685576e-07	1.9842536679231664	1.2967277761117827e-09	0	0.2912263537409656	1.065690199705809	-0.1950400571894597	0.09752082954801453	0.09752082950194883	0.2912263937159917	0.1950400571894597	0.0011999999999999962	0.01	0.01	0.2	0.2	3.434073610135725
101859.90012765847	0.00014002310948584367	522.5901723786811	7.183923074665698e-07	522.5901723788463	7.185884387236149e-07	2.6811647087006993	3.686737543411289e-09	0	0.2916491963673887	1.0687870951274274	-0.1954669557051004	0.09773427901842573	0.0977342789923343	0.29164922635793605	0.1954669557051004	0.0014000000000000089	0.01	0.01	0.2	0.2	3.429094468948998
