SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	Ttt	Txx	Tyy	rho	EInternal	T	Ax	Ay	Gx	Gy	mu
2.6492873594552777	7.475777275686473e-11	0.006308420193099634	2.8787304986936363e-13	0.006308624450252401	2.971263678013743e-13	9.254326811295046e-05	2.4960298629873698e-15	0	1.2396094120896897	5.7217270957255035	-5.4498203645381205	2.927820954809908	2.9277668885521178	1.240862760415024	5.4498203645381205	0.0014999999999999907	2.6	2.6	0.2	0.2	3.4266076330964865
2.6455441529102104	1.5827142066074077e-13	0.008087130189819703	1.1381109943507561e-15	0.00808738144693092	2.911479312888609e-15	0.00016320233337252724	2.6895083166401058e-17	0	1.2416838272535808	6.00128824571819	-5.459079718311576	2.9319180149697175	2.9318875285420996	1.2423121380770985	5.459079718311576	0.0019999999999999944	2.6	2.6	0.2	0.2	3.414200799486534
2.860925608746021	6.937317222734775e-12	0.02061461441079724	8.113160227613546e-14	0.020614832297049825	3.271584497322361e-14	0.0006975073993554744	5.492790136654048e-16	0	1.247407827981261	6.62358335676842	-5.496935335103967	2.948818921012098	2.948806348488343	1.2474603895767145	5.496935335103967	0.003999999999999995	2.6	2.6	0.2	0.2	3.365029087213313
3.156095681063944	2.0504289624214936e-13	0.039894119422932174	8.282858341735376e-15	0.03989425778918831	1.6386307871715473e-14	0.0017256975909395928	6.98710248051911e-16	0	1.2523487449754491	6.962836198722637	-5.535551658184395	2.9661843659694567	2.9661749917681037	1.2522683776856223	5.535551658184395	0.0059999999999999915	2.6	2.6	0.2	0.2	3.3165857883409826
3.440952866856587	5.782238885229971e-14	0.06399325809844082	5.711170273783211e-15	0.06399334186827697	1.7097484338752383e-15	0.003348102310185171	2.6219965464199107e-16	0	1.2571068582776965	7.2006851317286475	-5.574586770496355	2.983820662237308	2.983812592216993	1.256971195543925	5.574586770496355	0.007999999999999998	2.6	2.6	0.2	0.2	3.268869755322983
3.6983526748235014	8.010588625899048e-13	0.09173725247742137	4.249739332166056e-14	0.09173730890939577	6.335019592684536e-13	0.005642142945752041	2.828797914815896e-14	0	1.2617899359076958	7.389880213233142	-5.613935881572012	3.0016679294199005	3.00166063651881	1.2616270651138557	5.613935881572012	0.009999999999999997	2.6	2.6	0.2	0.2	3.221879386647624
4.228472796542986	2.0188624434754105e-13	0.17292015025648516	1.467795393194633e-14	0.17292019057411193	5.978371588727613e-15	0.014723951408762516	2.485796181632998e-16	0	1.2733704800485919	7.76482769893555	-5.713469342412963	3.0470774405248218	3.047071390863162	1.2731850114095717	5.713469342412963	0.015000000000000005	2.6	2.6	0.20000000000000004	0.20000000000000004	3.1075637029740606
4.639861900804396	3.446250253619152e-12	0.26685496381849244	3.4728872882335627e-13	0.2668550099532112	1.0622849902340188e-13	0.029260237047650697	3.63906440221787e-15	0	1.2849028522574757	8.077321210752668	-5.814551437627648	3.0935313629049643	3.093526203327278	1.2847180389802202	5.814551437627648	0.019999999999999993	2.6	2.6	0.2	0.2	2.997725422294234
5.248394919865885	3.4466498242563607e-13	0.4827722104214419	5.095850646916529e-14	0.4827722126549813	3.715246469469158e-14	0.07775022914570631	7.803272277013158e-15	0	1.3080505785830083	8.63758378205748	-6.021396668112956	3.1894792801848126	3.189475442699806	1.3078846778593949	6.021396668112956	0.02999999999999999	2.6	2.6	0.2	0.2	2.7912242752478287
5.682289372652116	6.96431883355857e-13	0.727072079300723	1.0531476835579865e-13	0.7270719156339704	3.078182446223112e-14	0.1569858487675199	8.898715585053697e-15	0	1.3314415271935793	9.173596870030568	-6.234878141191505	3.2895441262518803	3.2895412341851493	1.3312984848645573	6.234878141191505	0.039999999999999994	2.6	2.6	0.2	0.2	2.601717865394446
6.002867616743893	1.5178491111451696e-12	0.992792820899538	2.4831047795267007e-13	0.9927923586921436	5.483780888590107e-13	0.27278310934972333	1.2020161442756095e-13	0	1.355140737826322	9.712448605723004	-6.455596032822023	3.393908255664133	3.3939060567349886	1.3550187885274652	6.455596032822023	0.049999999999999996	2.6	2.6	0.2	0.2	2.4283509581069276
6.240515719410828	1.185609854462795e-12	1.27499706638879	3.4467913441324994e-13	1.2749961872309619	1.8613192601891093e-13	0.4311856560809453	7.067541702098118e-14	0	1.3791757883377411	10.265458563947504	-6.684205216939199	3.5028138003841764	3.5028121156020138	1.3790720887545334	6.684205216939199	0.059999999999999984	2.6	2.6	0.2	0.2	2.2701245741966263
6.413973847043507	8.071028619101357e-13	1.5700629422503183	7.797691600520822e-13	1.5700615554291228	6.834562441164253e-14	0.6387002732773875	2.484298588306145e-14	0	1.4035589283415137	10.838693064954796	-6.921392716493734	3.6165398269490665	3.6165385272523545	1.4034706498983809	6.921392716493734	0.07000000000000002	2.6	2.6	0.2	0.2	2.1259504410758425
6.536730297476268	7.05056644069429e-12	1.8754599494155606	1.9931461674271644e-12	1.8754580002047034	6.070449720714286e-13	0.902521470884345	7.188385411340048e-13	0	1.4282945695708478	11.435968163152802	-7.167872302770141	3.735391517888099	3.735390508523345	1.4282192031743004	7.167872302770141	0.08000000000000002	2.6	2.6	0.2	0.2	1.994700908962646
6.619367782756042	3.656882752715948e-13	2.189596341900878	1.961846124301707e-13	2.1895938146399585	2.0474927897996312e-14	1.2307312751114015	1.7986715492568803e-14	0	1.4533825953197173	12.059959922065861	-7.424380566028153	3.85969451474895	3.8596937254509895	1.453318009282531	7.424380566028153	0.09	2.6	2.6	0.2	0.2	1.8752507613188503
6.670490940725045	2.1259473742472357e-12	2.511655325666732	8.215677994102974e-13	2.5116522419192306	2.663714791467365e-13	1.6324601354026478	1.9818961193507456e-14	0	1.4788200895712336	12.712689372737335	-7.691674564193349	3.9897891797118876	3.9897885580986308	1.4787645073345985	7.691674564193349	0.1	2.6	2.6	0.2	0.2	1.7665093782759966
