SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	Ttt	Txx	Tyy	rho	EInternal	T	Ax	Ay	Gx	Gy	mu
10.933284594725773	1.9092037690162766e-12	0.07920209051719315	1.6454200047174175e-14	0.07920209423184471	1.425027195500867e-14	0.000639697822860838	1.2933735757904697e-16	0	0.6945999611236598	2.5661166942353493	-1.3716360403414019	0.7137883561208648	0.7137868630205753	0.6948938056440458	1.3716360403414019	0.0019999999999999944	1.4	1.4	0.2	0.2	3.414200799486534
10.306342847051676	1.2967703180128196e-12	0.11262281726683233	1.1861430767252368e-14	0.1126228241028561	1.0135064191103177e-14	0.001387317028778226	5.041256315663083e-17	0	0.6975974661893014	2.595522556407061	-1.3773516047228485	0.716575103321659	0.7165736594886091	0.6977804585444005	1.3773516047228485	0.0030000000000000096	1.4	1.4	0.2	0.2	3.389523837794453
9.849848361533796	2.268631373293896e-13	0.14424230875713087	3.542809517596235e-15	0.14424231935891735	1.1847311046929283e-14	0.002405965196214555	1.9091067085131947e-16	0	0.7005339261327869	2.6249664507966832	-1.3831417067942797	0.7194000482219275	0.7193986427152569	0.7006497667013382	1.3831417067942797	0.003999999999999995	1.4	1.4	0.2	0.2	3.365029087213313
9.475877622863706	3.946933315159253e-13	0.174197302356736	4.464491160581871e-15	0.1741973172928209	2.292081538662186e-14	0.003686256173559654	4.788969787914752e-16	0	0.7034330452841778	2.6548554415552768	-1.3890115928357027	0.7222658781324617	0.7222644959818124	0.7034993992103883	1.3890115928357027	0.004999999999999994	1.4	1.4	0.2	0.2	3.340716447134716
9.157335065437092	1.1874660377083117e-12	0.20266392106748124	1.7676057701436175e-14	0.20266394081555622	1.6039508142441165e-14	0.005220049824492546	2.6136523205524295e-16	0	0.7062962262353847	2.685408052589016	-1.394967170222872	0.7251756122279487	0.7251742387944997	0.7063254041212406	1.394967170222872	0.0059999999999999915	1.4	1.4	0.2	0.2	3.3165857883409826
8.884548073771139	7.046417222002752e-13	0.22986770319479086	8.092771580567227e-15	0.22986772812374298	8.831378396248e-15	0.007000822521260238	5.802816620988819e-16	0	0.7091189915467785	2.7167929459051607	-1.4010155304405387	0.7281328731923105	0.728131499108332	0.7091227436568867	1.4010155304405387	0.007000000000000009	1.4	1.4	0.2	0.2	3.292636953106783
8.655435575989452	4.5683792551345604e-12	0.25613271605165283	1.1583017318181735e-13	0.25613274638790745	3.499448488305481e-13	0.00902547252813444	1.0183616011757724e-14	0	0.7118957878460872	2.7491506453189793	-1.407164845364724	0.7311418338821235	0.7311404584796407	0.7118854840113684	1.407164845364724	0.007999999999999998	1.4	1.4	0.2	0.2	3.268869755322983
8.471387198181315	3.307848371072014e-13	0.28191413514755886	1.5355396070182976e-14	0.2819141709163056	1.8401451891050982e-14	0.011297220127990499	7.534650422283002e-16	0	0.7146224424514018	2.7825772989233357	-1.4134235282781904	0.7342067884144169	0.7342054196160532	0.7146073974746051	1.4134235282781904	0.009000000000000001	1.4	1.4	0.2	0.2	3.2452839806424563
8.334160280164856	6.625995225746279e-13	0.30777897658094255	5.649967173404376e-14	0.3077790175313599	4.728402727448726e-15	0.013828444515319463	5.339632376795011e-16	0	0.7172974481593096	2.8170873740551725	-1.4197983756016337	0.7373311997834783	0.7373298502727751	0.7172833216052636	1.4197983756016337	0.009999999999999997	1.4	1.4	0.2	0.2	3.221879386647624
8.243136120381712	9.352021379527287e-12	0.33431215193789465	6.169052606368186e-13	0.33431219749006236	3.506183847355828e-13	0.016641216790508256	2.386928576158502e-14	0	0.7199223624954199	2.8525783169803205	-1.4262920826592158	0.7405164243357694	0.7405151063215958	0.7199110572954488	1.4262920826592158	0.011000000000000001	1.4	1.4	0.2	0.2	3.1986557030393925
8.182507769787206	1.007548722094568e-12	0.3763247692893545	6.259561828891728e-14	0.3763248200182955	1.59011877635827e-14	0.021450486012408385	1.129701479913231e-15	0	0.72377637711592	2.9071551125027777	-1.4362472807692308	0.745404008009338	0.7454027513373255	0.7237681380324756	1.4362472807692308	0.012499999999999997	1.4	1.4	0.2	0.2	3.1641587252811654
8.215437811728563	3.4825962689797896e-12	0.4532904128769119	1.324082861639438e-13	0.45329046696449493	1.1175107850804085e-13	0.03125245007941721	5.184387689424516e-15	0	0.730040050996634	2.9994352598509666	-1.453331976872239	0.7538015612392116	0.753800413458483	0.730031837911226	1.453331976872239	0.015000000000000005	1.4	1.4	0.20000000000000004	0.20000000000000004	3.1075637029740606
8.44297234706658	4.0494356838920524e-13	0.6269134547765365	4.2475436845509474e-14	0.626913502737657	2.9143266246614176e-13	0.05836026097569749	2.955322753607376e-14	0	0.7423221927887262	3.1814052224483937	-1.4888914145156298	0.7713044431302557	0.7713034775984728	0.7423102720940655	1.4888914145156298	0.019999999999999993	1.4	1.4	0.2	0.2	2.997725422294234
8.852598857567381	2.4720858117756573e-11	1.016292250541786	3.6211728288369645e-12	1.016292252107409	1.6203554869470322e-12	0.1464080394162461	1.4542204987509035e-13	0	0.7668479505713701	3.5371742787245766	-1.5646019138813305	0.8086408140534236	0.8086401070664458	0.7668336916899964	1.5646019138813305	0.02999999999999999	1.4	1.4	0.2	0.2	2.7912242752478287
