	One_over_A	Shearlength_fit
0	0.0	2.512253541598907
1	0.001	2.5156798466631565
2	0.002	2.519106151727406
3	0.003	2.522532456791656
4	0.004	2.5259587618559056
5	0.005	2.529385066920155
6	0.006	2.5328113719844048
7	0.007	2.5362376770486543
8	0.008	2.539663982112904
9	0.009000000000000001	2.543090287177154
10	0.01	2.5465165922414035
11	0.011	2.549942897305653
12	0.012	2.5533692023699026
13	0.013000000000000001	2.556795507434152
14	0.014	2.560221812498402
15	0.015	2.5636481175626518
16	0.016	2.5670744226269013
17	0.017	2.570500727691151
18	0.018000000000000002	2.5739270327554005
19	0.019	2.57735333781965
20	0.02	2.5807796428839
21	0.021	2.5842059479481496
22	0.022	2.587632253012399
23	0.023	2.5910585580766488
24	0.024	2.5944848631408983
25	0.025	2.5979111682051483
26	0.026000000000000002	2.601337473269398
27	0.027	2.6047637783336475
28	0.028	2.608190083397897
29	0.029	2.6116163884621466
30	0.03	2.615042693526396
31	0.031	2.618468998590646
32	0.032	2.6218953036548958
33	0.033	2.6253216087191453
34	0.034	2.628747913783395
35	0.035	2.6321742188476445
36	0.036000000000000004	2.6356005239118945
37	0.037	2.639026828976144
38	0.038	2.6424531340403936
39	0.039	2.645879439104643
40	0.04	2.6493057441688928
41	0.041	2.6527320492331423
42	0.042	2.6561583542973923
43	0.043000000000000003	2.659584659361642
44	0.044	2.6630109644258915
45	0.045	2.666437269490141
46	0.046	2.6698635745543906
47	0.047	2.67328987961864
48	0.048	2.67671618468289
49	0.049	2.6801424897471398
50	0.05	2.6835687948113893
51	0.051000000000000004	2.686995099875639
52	0.052000000000000005	2.6904214049398885
53	0.053	2.693847710004138
54	0.054	2.697274015068388
55	0.055	2.7007003201326376
56	0.056	2.704126625196887
57	0.057	2.7075529302611367
58	0.058	2.7109792353253863
59	0.059000000000000004	2.7144055403896363
60	0.06	2.717831845453886
61	0.061	2.7212581505181355
62	0.062	2.724684455582385
63	0.063	2.7281107606466346
64	0.064	2.731537065710884
65	0.065	2.734963370775134
66	0.066	2.7383896758393838
67	0.067	2.7418159809036333
68	0.068	2.745242285967883
69	0.069	2.7486685910321325
70	0.07	2.7520948960963825
71	0.07100000000000001	2.755521201160632
72	0.07200000000000001	2.7589475062248816
73	0.073	2.762373811289131
74	0.074	2.7658001163533807
75	0.075	2.7692264214176303
76	0.076	2.7726527264818803
77	0.077	2.77607903154613
78	0.078	2.7795053366103795
79	0.079	2.782931641674629
80	0.08	2.7863579467388786
81	0.081	2.7897842518031286
82	0.082	2.793210556867378
83	0.083	2.7966368619316277
84	0.084	2.8000631669958773
85	0.085	2.803489472060127
86	0.08600000000000001	2.8069157771243765
87	0.08700000000000001	2.8103420821886265
88	0.088	2.813768387252876
89	0.089	2.8171946923171256
90	0.09	2.820620997381375
91	0.091	2.8240473024456247
92	0.092	2.8274736075098748
93	0.093	2.8308999125741243
94	0.094	2.834326217638374
95	0.095	2.8377525227026235
96	0.096	2.841178827766873
97	0.097	2.8446051328311226
98	0.098	2.8480314378953726
99	0.099	2.851457742959622
100	0.1	2.8548840480238717
101	0.101	2.8583103530881213
102	0.10200000000000001	2.861736658152371
103	0.10300000000000001	2.865162963216621
104	0.10400000000000001	2.8685892682808705
105	0.105	2.87201557334512
106	0.106	2.8754418784093696
107	0.107	2.878868183473619
108	0.108	2.8822944885378687
109	0.109	2.8857207936021187
110	0.11	2.8891470986663683
111	0.111	2.892573403730618
112	0.112	2.8959997087948675
113	0.113	2.899426013859117
114	0.114	2.902852318923367
115	0.115	2.9062786239876166
116	0.116	2.909704929051866
117	0.117	2.9131312341161157
118	0.11800000000000001	2.9165575391803653
119	0.11900000000000001	2.919983844244615
120	0.12	2.923410149308865
121	0.121	2.9268364543731145
122	0.122	2.930262759437364
123	0.123	2.9336890645016136
124	0.124	2.937115369565863
125	0.125	2.940541674630113
126	0.126	2.9439679796943627
127	0.127	2.9473942847586123
128	0.128	2.950820589822862
129	0.129	2.9542468948871115
130	0.13	2.957673199951361
131	0.131	2.961099505015611
132	0.132	2.9645258100798606
133	0.133	2.96795211514411
134	0.134	2.9713784202083597
135	0.135	2.9748047252726093
136	0.136	2.9782310303368593
137	0.137	2.981657335401109
138	0.138	2.9850836404653585
139	0.139	2.988509945529608
140	0.14	2.9919362505938576
141	0.14100000000000001	2.995362555658107
142	0.14200000000000002	2.998788860722357
143	0.14300000000000002	3.0022151657866067
144	0.14400000000000002	3.0056414708508563
145	0.145	3.009067775915106
146	0.146	3.0124940809793554
147	0.147	3.0159203860436055
148	0.148	3.019346691107855
149	0.149	3.0227729961721046
150	0.15	3.026199301236354
151	0.151	3.0296256063006037
152	0.152	3.0330519113648533
153	0.153	3.036478216429103
154	0.154	3.039904521493353
155	0.155	3.0433308265576025
156	0.156	3.046757131621852
157	0.157	3.0501834366861016
158	0.158	3.0536097417503516
159	0.159	3.057036046814601
160	0.16	3.0604623518788507
161	0.161	3.0638886569431003
162	0.162	3.06731496200735
163	0.163	3.0707412670715994
164	0.164	3.074167572135849
165	0.165	3.077593877200099
166	0.166	3.0810201822643486
167	0.167	3.084446487328598
168	0.168	3.0878727923928477
169	0.169	3.0912990974570977
170	0.17	3.0947254025213473
171	0.171	3.098151707585597
172	0.17200000000000001	3.1015780126498464
173	0.17300000000000001	3.105004317714096
174	0.17400000000000002	3.1084306227783456
175	0.17500000000000002	3.1118569278425956
176	0.176	3.1152832329068447
177	0.177	3.1187095379710947
178	0.178	3.1221358430353443
179	0.179	3.125562148099594
180	0.18	3.1289884531638434
181	0.181	3.1324147582280935
182	0.182	3.135841063292343
183	0.183	3.1392673683565926
184	0.184	3.142693673420842
185	0.185	3.1461199784850917
186	0.186	3.1495462835493413
187	0.187	3.1529725886135913
188	0.188	3.156398893677841
189	0.189	3.1598251987420904
190	0.19	3.16325150380634
191	0.191	3.16667780887059
192	0.192	3.1701041139348396
193	0.193	3.173530418999089
194	0.194	3.1769567240633387
195	0.195	3.1803830291275883
196	0.196	3.183809334191838
197	0.197	3.1872356392560874
198	0.198	3.1906619443203375
199	0.199	3.194088249384587
200	0.2	3.1975145544488366
201	0.201	3.200940859513086
202	0.202	3.204367164577336
203	0.203	3.2077934696415857
204	0.20400000000000001	3.2112197747058353
205	0.20500000000000002	3.214646079770085
206	0.20600000000000002	3.2180723848343344
207	0.20700000000000002	3.221498689898584
208	0.20800000000000002	3.2249249949628336
209	0.209	3.228351300027083
210	0.21	3.231777605091333
211	0.211	3.2352039101555827
212	0.212	3.2386302152198323
213	0.213	3.242056520284082
214	0.214	3.245482825348332
215	0.215	3.2489091304125814
216	0.216	3.252335435476831
217	0.217	3.2557617405410806
218	0.218	3.25918804560533
219	0.219	3.2626143506695797
220	0.22	3.2660406557338293
221	0.221	3.2694669607980793
222	0.222	3.272893265862329
223	0.223	3.2763195709265784
224	0.224	3.279745875990828
225	0.225	3.283172181055078
226	0.226	3.2865984861193276
227	0.227	3.290024791183577
228	0.228	3.2934510962478267
229	0.229	3.2968774013120763
230	0.23	3.300303706376326
231	0.231	3.303730011440576
232	0.232	3.3071563165048254
233	0.233	3.310582621569075
234	0.234	3.3140089266333246
235	0.23500000000000001	3.3174352316975746
236	0.23600000000000002	3.320861536761824
237	0.23700000000000002	3.3242878418260737
238	0.23800000000000002	3.3277141468903233
239	0.23900000000000002	3.331140451954573
240	0.24	3.3345667570188224
241	0.241	3.337993062083072
242	0.242	3.3414193671473216
243	0.243	3.3448456722115716
244	0.244	3.348271977275821
245	0.245	3.3516982823400707
246	0.246	3.3551245874043203
247	0.247	3.3585508924685703
248	0.248	3.36197719753282
249	0.249	3.3654035025970694
250	0.25	3.368829807661319
251	0.251	3.3722561127255686
252	0.252	3.375682417789818
253	0.253	3.3791087228540677
254	0.254	3.3825350279183177
255	0.255	3.3859613329825673
256	0.256	3.389387638046817
257	0.257	3.3928139431110664
258	0.258	3.3962402481753164
259	0.259	3.399666553239566
260	0.26	3.4030928583038156
261	0.261	3.406519163368065
262	0.262	3.4099454684323147
263	0.263	3.4133717734965643
264	0.264	3.416798078560814
265	0.265	3.420224383625064
266	0.266	3.4236506886893134
267	0.267	3.427076993753563
268	0.268	3.4305032988178126
269	0.269	3.4339296038820626
270	0.27	3.437355908946312
271	0.271	3.4407822140105617
272	0.272	3.4442085190748113
273	0.273	3.447634824139061
274	0.274	3.4510611292033104
275	0.275	3.4544874342675604
276	0.276	3.45791373933181
277	0.277	3.4613400443960596
278	0.278	3.464766349460309
279	0.279	3.468192654524559
280	0.28	3.4716189595888087
281	0.281	3.4750452646530583
282	0.28200000000000003	3.478471569717308
283	0.28300000000000003	3.4818978747815574
284	0.28400000000000003	3.485324179845807
285	0.28500000000000003	3.4887504849100566
286	0.28600000000000003	3.4921767899743066
287	0.28700000000000003	3.495603095038556
288	0.28800000000000003	3.4990294001028057
289	0.289	3.5024557051670553
290	0.29	3.505882010231305
291	0.291	3.5093083152955544
292	0.292	3.5127346203598044
