	Temperature	Sigma_saturation
0	9.999999999999258e-05	4.934802200545003
1	0.00017799999999999652	4.934802200544945
2	0.0003160000000000003	4.934802200544686
3	0.000562000000000005	4.934802200544848
4	0.0007499999999999918	4.934802200544889
5	0.000999999999999994	4.934802200544919
6	0.0017800000000000094	4.934802200544904
7	0.003159999999999996	4.934802200544924
8	0.0056200000000000095	4.934802200544944
9	0.007499999999999994	4.934802200544909
10	0.009999999999999995	4.934802200544934
11	0.017800000000000003	4.934802200544928
12	0.03160000000000002	4.9348022005449215
13	0.05620000000000002	4.934802200544913
14	0.07500000000000001	4.9348022005449135
15	0.1	4.934802200544906
