	Temperature	SigmaT_saturation
0	0.001	0.6801926628344344
1	0.002	0.6802463637477791
2	0.003	0.6803358558505127
3	0.004	0.6804611250212286
4	0.005	0.6806221515055264
5	0.006	0.6808189099315248
6	0.006999999999999999	0.681051369329974
7	0.008	0.6813194931584184
8	0.009000000000000001	0.6816232393298681
9	0.01	0.6819625602458035
10	0.011000000000000001	0.6823374028329704
11	0.012	0.682747708585235
12	0.012999999999999998	0.6831934136079877
13	0.013999999999999999	0.6836744486683143
14	0.015	0.6841907392473502
15	0.016	0.6847422055981153
16	0.016999999999999998	0.6853287628055414
17	0.018000000000000002	0.6859503208505605
18	0.019	0.6866067846789222
19	0.02	0.6872980542709787
20	0.021	0.6880240247170271
21	0.022000000000000002	0.688784586294199
22	0.023000000000000003	0.6895796245472009
23	0.024	0.6904090203714488
24	0.024999999999999998	0.6912726500994191
25	0.025999999999999995	0.6921703855889207
26	0.027	0.6931020943140401
27	0.027999999999999997	0.6940676394592824
28	0.029	0.695066880013576
29	0.03	0.6960996708692907
30	0.031	0.6971658629212326
31	0.032	0.6982653031668792
32	0.032999999999999995	0.6993978348091263
33	0.034	0.7005632973618791
34	0.035	0.7017615267534909
35	0.036000000000000004	0.7029923554326614
36	0.037000000000000005	0.7042556124790148
37	0.038	0.7055511237076794
38	0.039	0.7068787117803972
39	0.04	0.708238196312205
40	0.040999999999999995	0.7096293939855597
41	0.042	0.7110521186575122
42	0.043	0.7125061814692009
43	0.044000000000000004	0.71399139095777
44	0.044999999999999984	0.7155075531657789
45	0.046000000000000006	0.7170544717512721
46	0.047	0.7186319480964252
47	0.048	0.7202397814180649
48	0.049	0.7218777688740173
49	0.04999999999999999	0.7235457056728575
50	0.051	0.7252433851792635
51	0.05199999999999999	0.7269705990206129
52	0.052999999999999985	0.72872713719205
53	0.053999999999999986	0.7305127881600041
54	0.055	0.7323273389652926
55	0.055999999999999994	0.7341705753243863
56	0.057	0.736042281729696
57	0.058	0.7379422415481278
58	0.059000000000000004	0.7398702371186014
59	0.06000000000000001	0.7418260498473688
60	0.061	0.7438094603027758
61	0.062	0.7458202483073901
62	0.063	0.7478581930286772
63	0.064	0.7499230730684574
64	0.06499999999999999	0.752014666549978
65	0.06599999999999999	0.7541327512034302
66	0.067	0.7562771044495437
67	0.06799999999999999	0.7584475034812779
68	0.069	0.7606437253438506
69	0.07	0.7628655470123427
70	0.071	0.7651127454678175
71	0.07200000000000001	0.7673850977715424
72	0.073	0.7696823811364345
73	0.07400000000000001	0.7720043729975731
74	0.075	0.7743508510800533
75	0.076	0.7767215934651022
76	0.077	0.7791163786540691
77	0.078	0.7815349856305723
78	0.079	0.7839771939206416
79	0.08	0.7864427836507256
80	0.081	0.7889315356039671
81	0.08199999999999999	0.7914432312744275
82	0.083	0.7939776529193607
83	0.08399999999999999	0.7965345836095343
84	0.085	0.7991138072779027
85	0.086	0.801715108766152
86	0.08700000000000001	0.8043382738693874
87	0.08800000000000001	0.8069830893791947
88	0.08900000000000001	0.8096493431246617
89	0.08999999999999997	0.8123368240121431
90	0.091	0.8150453220621608
91	0.092	0.8177746284461708
92	0.093	0.8205245355200799
93	0.094	0.8232948368576162
94	0.095	0.8260853272801986
95	0.096	0.8288958028875486
96	0.097	0.8317260610845323
97	0.098	0.8345759006078121
98	0.099	0.8374451215504517
99	0.09999999999999998	0.8403335253858918
100	0.001	0.6801926628344344
101	0.002	0.6802463637477791
102	0.003	0.6803358558505127
103	0.004	0.6804611250212286
104	0.005	0.6806221515055264
105	0.006	0.6808189099315248
106	0.006999999999999999	0.681051369329974
107	0.008	0.6813194931584184
108	0.009000000000000001	0.6816232393298681
109	0.01	0.6819625602458035
110	0.011000000000000001	0.6823374028329704
111	0.012	0.682747708585235
112	0.012999999999999998	0.6831934136079877
113	0.013999999999999999	0.6836744486683143
114	0.015	0.6841907392473502
115	0.016	0.6847422055981153
116	0.016999999999999998	0.6853287628055414
117	0.018000000000000002	0.6859503208505605
118	0.019	0.6866067846789222
119	0.02	0.6872980542709787
120	0.021	0.6880240247170271
121	0.022000000000000002	0.688784586294199
122	0.023000000000000003	0.6895796245472009
123	0.024	0.6904090203714488
124	0.024999999999999998	0.6912726500994191
125	0.025999999999999995	0.6921703855889207
126	0.027	0.6931020943140401
127	0.027999999999999997	0.6940676394592824
128	0.029	0.695066880013576
129	0.03	0.6960996708692907
130	0.031	0.6971658629212326
131	0.032	0.6982653031668792
132	0.032999999999999995	0.6993978348091263
133	0.034	0.7005632973618791
134	0.035	0.7017615267534909
135	0.036000000000000004	0.7029923554326614
136	0.037000000000000005	0.7042556124790148
137	0.038	0.7055511237076794
138	0.039	0.7068787117803972
139	0.04	0.708238196312205
140	0.040999999999999995	0.7096293939855597
141	0.042	0.7110521186575122
142	0.043	0.7125061814692009
143	0.044000000000000004	0.71399139095777
144	0.044999999999999984	0.7155075531657789
145	0.046000000000000006	0.7170544717512721
146	0.047	0.7186319480964252
147	0.048	0.7202397814180649
148	0.049	0.7218777688740173
149	0.04999999999999999	0.7235457056728575
150	0.051	0.7252433851792635
151	0.05199999999999999	0.7269705990206129
152	0.052999999999999985	0.72872713719205
153	0.053999999999999986	0.7305127881600041
154	0.055	0.7323273389652926
155	0.055999999999999994	0.7341705753243863
156	0.057	0.736042281729696
157	0.058	0.7379422415481278
158	0.059000000000000004	0.7398702371186014
159	0.06000000000000001	0.7418260498473688
160	0.061	0.7438094603027758
161	0.062	0.7458202483073901
162	0.063	0.7478581930286772
163	0.064	0.7499230730684574
164	0.06499999999999999	0.752014666549978
165	0.06599999999999999	0.7541327512034302
166	0.067	0.7562771044495437
167	0.06799999999999999	0.7584475034812779
168	0.069	0.7606437253438506
169	0.07	0.7628655470123427
170	0.071	0.7651127454678175
171	0.07200000000000001	0.7673850977715424
172	0.073	0.7696823811364345
173	0.07400000000000001	0.7720043729975731
174	0.075	0.7743508510800533
175	0.076	0.7767215934651022
176	0.077	0.7791163786540691
177	0.078	0.7815349856305723
178	0.079	0.7839771939206416
179	0.08	0.7864427836507256
180	0.081	0.7889315356039671
181	0.08199999999999999	0.7914432312744275
182	0.083	0.7939776529193607
183	0.08399999999999999	0.7965345836095343
184	0.085	0.7991138072779027
185	0.086	0.801715108766152
186	0.08700000000000001	0.8043382738693874
187	0.08800000000000001	0.8069830893791947
188	0.08900000000000001	0.8096493431246617
189	0.08999999999999997	0.8123368240121431
190	0.091	0.8150453220621608
191	0.092	0.8177746284461708
192	0.093	0.8205245355200799
193	0.094	0.8232948368576162
194	0.095	0.8260853272801986
195	0.096	0.8288958028875486
196	0.097	0.8317260610845323
197	0.098	0.8345759006078121
198	0.099	0.8374451215504517
199	0.09999999999999998	0.8403335253858918
200	0.001	0.6801926628344344
201	0.002	0.6802463637477791
202	0.003	0.6803358558505127
203	0.004	0.6804611250212286
204	0.005	0.6806221515055264
205	0.006	0.6808189099315248
206	0.006999999999999999	0.681051369329974
207	0.008	0.6813194931584184
208	0.009000000000000001	0.6816232393298681
209	0.01	0.6819625602458035
210	0.011000000000000001	0.6823374028329704
211	0.012	0.682747708585235
212	0.012999999999999998	0.6831934136079877
213	0.013999999999999999	0.6836744486683143
214	0.015	0.6841907392473502
215	0.016	0.6847422055981153
216	0.016999999999999998	0.6853287628055414
217	0.018000000000000002	0.6859503208505605
218	0.019	0.6866067846789222
219	0.02	0.6872980542709787
220	0.021	0.6880240247170271
221	0.022000000000000002	0.688784586294199
222	0.023000000000000003	0.6895796245472009
223	0.024	0.6904090203714488
224	0.024999999999999998	0.6912726500994191
225	0.025999999999999995	0.6921703855889207
226	0.027	0.6931020943140401
227	0.027999999999999997	0.6940676394592824
228	0.029	0.695066880013576
229	0.03	0.6960996708692907
230	0.031	0.6971658629212326
231	0.032	0.6982653031668792
232	0.032999999999999995	0.6993978348091263
233	0.034	0.7005632973618791
234	0.035	0.7017615267534909
235	0.036000000000000004	0.7029923554326614
236	0.037000000000000005	0.7042556124790148
237	0.038	0.7055511237076794
238	0.039	0.7068787117803972
239	0.04	0.708238196312205
240	0.040999999999999995	0.7096293939855597
241	0.042	0.7110521186575122
242	0.043	0.7125061814692009
243	0.044000000000000004	0.71399139095777
244	0.044999999999999984	0.7155075531657789
245	0.046000000000000006	0.7170544717512721
246	0.047	0.7186319480964252
247	0.048	0.7202397814180649
248	0.049	0.7218777688740173
249	0.04999999999999999	0.7235457056728575
250	0.051	0.7252433851792635
251	0.05199999999999999	0.7269705990206129
252	0.052999999999999985	0.72872713719205
253	0.053999999999999986	0.7305127881600041
254	0.055	0.7323273389652926
255	0.055999999999999994	0.7341705753243863
256	0.057	0.736042281729696
257	0.058	0.7379422415481278
258	0.059000000000000004	0.7398702371186014
259	0.06000000000000001	0.7418260498473688
260	0.061	0.7438094603027758
261	0.062	0.7458202483073901
262	0.063	0.7478581930286772
