SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	Ttt	Txx	Tyy	rho	SigmaQ0	EInternal	T	Ax	Ay	Gx	Gy	mu
569.7884544909613	9.8850293985929e-11	47.72583338907756	8.307525296210528e-12	47.725833389289676	1.3567763947859046e-11	4.0047473956709325	1.1400547351963093e-12	0	0.3449451597062558	1.440311890229645	-0.2657958531338158	0.13289954631062884	0.13289954634864606	0.34494529794630174	1.024697966809299	0.2657958531338158	0.019999999999999993	0.2	0.2	0.15	0.15	2.997725422294234
146.94023945069299	7.949478792655965e-11	12.226173732315342	6.679998508798206e-12	12.226173734426125	6.9268843792598785e-12	1.0249638068672624	5.815192817348028e-13	0	0.3786370977664439	1.5656836646958652	-0.3400748260838785	0.17004430691464267	0.17004430606303733	0.3786371109678674	1.1016028500127675	0.3400748260838785	0.019999999999999993	0.4	0.4	0.15	0.15	2.997725422294234
74.50995222634147	9.568143917774396e-12	6.110722390630887	4.996804508717404e-13	6.110722397183338	9.030382779878517e-13	0.5095566197535658	2.881783659523649e-14	0	0.43275102217151956	1.7704723901394832	-0.46427239583610413	0.23215326984436072	0.23215323367797314	0.4327452816474516	1.2287372880351626	0.46427239583610413	0.019999999999999993	0.6	0.6	0.15	0.15	2.997725422294234
46.96228672021435	2.823729464243688e-11	3.781070781902612	2.7109987619869196e-12	3.781070794617001	1.3471791378296947e-12	0.3139815411256377	1.3272129925477755e-13	0	0.5033593365006703	2.047750959035766	-0.6409238287035582	0.3204960279725762	0.3204959871258534	0.5033036573069349	1.42936699958981	0.6409238287035582	0.019999999999999993	0.8	0.8	0.15	0.15	2.997725422294234
33.1236198017838	4.1980829786395736e-11	2.598586513371032	3.12717157200567e-12	2.5985865188137156	2.4982459919224677e-12	0.21464014846358437	1.7853031742575046e-13	0	0.5833691510349684	2.4181128936353278	-0.8778825732708511	0.43900204126969594	0.43900199612289736	0.5833623762620735	1.6632805784220182	0.8778825732708511	0.019999999999999993	1.0	1.0	0.15	0.15	2.997725422294234
26.274350869948027	6.0636120541644624e-12	2.0196289446692433	5.172517082555478e-13	2.019628943625006	4.733920759250245e-13	0.16673242925396886	2.621993338650142e-14	0	0.6671987753411299	2.8858428834492944	-1.187245879419324	0.5937235127749527	0.5937234603701362	0.667188603616952	1.8105972361315459	1.187245879419324	0.019999999999999993	1.2	1.2	0.15	0.15	2.997725422294234
21.955221161897313	1.0093917471412742e-13	1.6572879199363824	5.288876266990167e-14	1.6572879208922013	1.8094425629764416e-13	0.1371955448193796	1.5119664221983152e-14	0	0.7534875261371521	3.443198411982205	-1.5812350445248835	0.7907755522769033	0.7907754800079257	0.7534691489443678	1.935596947662944	1.5812350445248835	0.019999999999999993	1.4	1.4	0.15	0.15	2.997725422294234
18.957326992453996	4.625124426110918e-13	1.406877706500815	4.4806095471338626e-14	1.4068777154329892	8.110869056787922e-16	0.11701760650844896	1.3776683177678277e-16	0	0.841387654533757	4.088382544387147	-2.0726784963428546	1.0365778043996405	1.0365776977905572	0.8413563917375866	2.042736507537871	2.0726784963428546	0.019999999999999993	1.6	1.6	0.15	0.15	2.997725422294234
16.74730091976953	2.781314273542429e-13	1.2228074087181322	1.1492421828921379e-14	1.222807429586088	7.541396359045031e-14	0.10233364693871475	2.534510698856117e-15	0	0.9304067160442828	4.820269210309624	-2.6746021675067126	1.3376497048742217	1.3376495467874494	0.9303567987888276	2.135704156987103	2.6746021675067126	0.019999999999999993	1.8	1.8	0.15	0.15	2.997725422294234
15.04751996222841	7.112006457006188e-13	1.0815033164290304	4.6656956724488573e-14	1.0815033517077781	1.629925481649433e-13	0.0911630639681019	1.632351791002224e-14	0	1.0202368530443267	5.63814521950178	-3.400137789373784	1.7005646936535024	1.7005644636682613	1.0201611642424455	2.2172199406063164	3.400137789373784	0.019999999999999993	2.0	2.0	0.15	0.15	2.997725422294234
13.698286305997309	4.0798135788789316e-13	0.9694686761478355	1.476113058986971e-14	0.9694687276117612	1.5861661469781218e-14	0.08237991726139678	1.6584183420303583e-15	0	1.1106751052357167	6.541531857127398	-4.26247730481148	2.1319274888924955	2.131927162900859	1.110565015128066	2.289321655763029	4.26247730481148	0.019999999999999993	2.2	2.2	0.15	0.15	2.997725422294234
12.600878834204188	2.3444752312368816e-13	0.878392325326303	1.862463885353486e-14	0.8783923946134804	6.890617447991832e-16	0.07529517541736677	9.941773410620468e-16	0	1.2015819427429766	7.5300929825151535	-5.274849089746829	2.6383622654789294	2.638361815417632	1.2014271600941338	2.3535670539129914	5.274849089746829	0.019999999999999993	2.4	2.4	0.15	0.15	2.997725422294234
11.690819173199937	2.4293894742264836e-13	0.8028642485060941	4.6928477338759956e-14	0.8028643374380564	4.054044553539817e-15	0.06946287348327546	3.636199979582946e-18	0	1.292858122632168	8.603583977381248	-6.450504696455507	3.226506089877464	3.2265054835084555	1.2926465490076882	2.411170339139737	6.450504696455507	0.019999999999999993	2.6	2.6	0.15	0.15	2.997725422294234
10.924119421959306	9.29950437643533e-13	0.73920478158991	4.7389985568621477e-14	0.7392048923142646	6.158898106484675e-14	0.06458128154014933	1.563551348804642e-14	0	1.3844310401973245	9.761821583751725	-7.802711062628973	3.9030050746374605	3.9030042753020817	1.3841486234050506	2.463095144612712	7.802711062628973	0.019999999999999993	2.8	2.8	0.15	0.15	2.997725422294234
10.269689195772504	1.3179045783354124e-12	0.6848202080609088	1.209281049368329e-13	0.6848203430881545	2.0469281798126793e-14	0.060438759684743104	4.390333212932425e-15	0	1.476246306165293	11.004665182921919	-9.34474576024677	4.674512025460418	4.6745109919056596	1.4758768918586516	2.5101188094139646	9.34474576024677	0.019999999999999993	3.0	3.0	0.15	0.15	2.997725422294234
9.704898874580735	7.586052499481198e-14	0.637827288906106	4.338930873382367e-14	0.6378274510949836	3.9282079352970014e-14	0.056882346469065766	2.037181038561346e-15	0	1.568262347781918	12.332004698120517	-11.089894052964935	5.547684946304157	5.5476836324774945	1.567787529634387	2.5528775678815183	11.089894052964935	0.019999999999999993	3.2	3.2	0.15	0.15	2.997725422294234
9.212863667049	8.015514178320397e-14	0.5968240265525966	1.2207966252520576e-14	0.5968242190773952	9.090362389531978e-15	0.05379866008155758	6.675294435672969e-16	0	1.6604468343173313	13.743752510069479	-13.051447116503299	6.529186055050052	6.529184409945392	1.6598458053624487	2.5918988877424107	13.051447116503299	0.019999999999999993	3.4	3.4	0.15	0.15	2.997725422294234
8.780715172785884	2.465592065220088e-13	0.5607441335975394	2.2856709923262043e-14	0.5607443599258375	7.07899561901401e-15	0.051101820558216014	9.042546036474946e-16	0	1.752774243519184	15.239837900199005	-15.242701080967398	7.625681110445471	7.625679077923224	1.7520236537114702	2.6276249924054778	15.242701080967398	0.019999999999999993	3.6	3.6	0.15	0.15	2.997725422294234
8.398464519630638	5.310210433239218e-15	0.5287615200304546	1.6827840306553998e-15	0.5287617838672011	4.224938304028286e-15	0.048725552426150835	4.410234696713296e-16	0	1.8452241640960434	16.820203131605435	-17.676956719740833	8.843838930921677	8.843836449536262	1.8442979923971368	2.6604303537710514	17.676956719740833	0.019999999999999993	3.8	3.8	0.15	0.15	2.997725422294234
8.05823282837424	1.4705690711797402e-13	0.5002257780740544	1.8491384158965193e-14	0.5002260834033521	8.38520619905323e-16	0.04661786838687137	4.622122658610806e-16	0	1.9377800858979468	18.484800634917978	-20.36751970137164	10.190331032526078	10.19032803541799	1.9366495388458767	2.690634728289342	20.36751970137164	0.019999999999999993	4.0	4.0	0.15	0.15	2.997725422294234
7.753717497299299	2.3282731024350434e-13	0.4746175055952097	3.5476181889180584e-14	0.47461785655445643	1.2102803681318875e-14	0.04473740065803676	1.866456568714585e-15	0	2.0304285210345143	20.2335909287262	-23.327701366755697	11.67183134069714	11.671827755420404	2.0290619742751828	2.7185133979222273	23.327701366755697	0.019999999999999993	4.2	4.2	0.15	0.15	2.997725422294234
7.479813931322561	1.309403066084031e-13	0.45151671155827433	2.1658039502990826e-14	0.45151711261031363	1.2750605119921355e-14	0.04305081285730493	4.386690911946164e-15	0	2.123158354340865	22.06654109968108	-26.570820012911497	13.295015949996326	13.295011698402961	2.121521356674189	2.7443046954382204	26.570820012911497	0.019999999999999993	4.4	4.4	0.15	0.15	2.997725422294234
7.232340760274428	2.6766408020059182e-14	0.43057988695255056	2.331682817826942e-15	0.43058034271966944	8.778276456490963e-15	0.04153092976843218	7.728084147882421e-16	0	2.2159603563478543	23.98362360161896	-30.11020265387817	15.066562917484095	15.06655791555791	2.214015720986525	2.7682163998044533	30.11020265387817	0.019999999999999993	4.6	4.6	0.15	0.15	2.997725422294234
7.007840452283812	4.2234265467616046e-13	0.41152337745931733	7.388484493774913e-14	0.4115238926171343	1.1044140307145612e-13	0.040155382955995016	1.3052414372013458e-14	0	2.3088268114003054	25.98481538149656	-33.95918721198978	16.993152089490515	16.99314624725054	2.3065348200830096	2.7904307371132315	33.95918721198978	0.019999999999999993	4.8	4.8	0.15	0.15	2.997725422294234
6.803427250723457	1.6822801039723592e-13	0.3941107783996776	1.1861972248695569e-15	0.3941113582629555	5.906734720971531e-15	0.038905585310177876	4.594241058096219e-16	0	2.4017512322142274	28.0700972083798	-38.131125042360765	19.08146496725478	19.081458188645254	2.39906997897107	2.811107563387092	38.131125042360765	0.019999999999999993	5.0	5.0	0.15	0.15	2.997725422294234
6.616671758145234	2.1967876077892638e-13	0.37814330611199864	1.841841047912262e-14	0.37814395599750433	7.317486041356652e-15	0.037765956056862136	1.861990631826909e-15	0	2.494728136835922	30.239453043194516	-42.639383639637316	21.33818462620158	21.33817680894619	2.4916140399046616	2.8303885380972553	42.639383639637316	0.019999999999999993	5.2	5.2	0.15	0.15	2.997725422294234
6.445517202110886	2.575533202347018e-13	0.36345282129358625	4.483009082671543e-14	0.3634535461581173	3.5466305752059032e-16	0.03672335553452788	1.6696197902896105e-15	0	2.5877528706414767	32.492869652480714	-47.49734932028976	23.769995717430387	23.769986752910484	2.584161373751037	2.848399922451472	47.49734932028976	0.019999999999999993	5.4	5.4	0.15	0.15	2.997725422294234
