SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	Ttt	Txx	Tyy	rho	SigmaQ0	EInternal	T	Ax	Ay	Gx	Gy	mu
3849.7956481662245	3.2690511218025217e-07	322.7312271646682	2.741233496535921e-08	322.73122716419135	2.7906689559317186e-08	27.061910665603655	2.3400244975414233e-09	0	0.3364543706888793	1.4088820028261708	-0.24722792644805924	0.12361436751943591	0.12361436754045506	0.33645441781375446	1.0117882947602084	0.24722792644805924	0.019999999999999993	0.1	0.1	0.1	0.1	2.997725422294234
944.720442854673	1.149890552532281e-08	79.13776030248384	9.669517616993684e-10	79.13776030280866	9.882647084874921e-10	6.6366023378689905	8.306610041462755e-11	0	0.345051876793679	1.4403899158062812	-0.26580359358767575	0.13290343996947748	0.13290344000178037	0.3450520164272222	1.0470408816281633	0.26580359358767575	0.019999999999999993	0.2	0.2	0.1	0.1	2.997725422294234
415.6264741117807	1.2812299588898177e-09	34.72702416808678	1.098774902731298e-10	34.72702416965203	8.955778761951234e-11	2.909291715363406	7.757563016349113e-12	0	0.3593499317717547	1.492936221791709	-0.2967621306955957	0.14838485933284215	0.14838485935115195	0.3593500060062098	1.1042035341119458	0.2967621306955957	0.019999999999999993	0.3	0.3	0.1	0.1	2.997725422294234
239.19059828382203	7.803505857955989e-10	19.873731891278293	6.433275303801667e-11	19.87373189573259	4.4657391059952006e-11	1.659432311411449	3.692867313195636e-12	0	0.37925938654907826	1.566498903635765	-0.340104366827332	0.17005916912594515	0.17005916826503442	0.379259089464293	1.1783475527312248	0.340104366827332	0.019999999999999993	0.4	0.4	0.1	0.1	2.997725422294234
163.41066357304766	2.645908267244702e-10	13.461870877130453	2.609837006617501e-11	13.461870889557304	2.6158327436230805e-11	1.117619200554587	2.4206429134652767e-12	0	0.4045336025221926	1.6604851758869357	-0.3958474025664319	0.19793510933656958	0.19793508497826734	0.4045284856287939	1.2606507691378965	0.3958474025664319	0.019999999999999993	0.5	0.5	0.1	0.1	2.997725422294234
81.15351630099147	2.2705471719521562e-10	6.479127697733475	2.270221802236562e-11	6.479127728543395	1.3694348299416821e-11	0.5276261047105041	1.6654800177946507e-12	0	0.5065567025555731	2.067955783597561	-0.6404565421578151	0.32026274582996356	0.3202626685543687	0.50653792731591	1.5913120272066976	0.6404565421578151	0.019999999999999993	0.8	0.8	0.1	0.1	2.997725422294234
61.54770565708303	9.037611833118268e-11	4.833378863883565	1.2847290892896772e-11	4.833378891467266	5.0861341689818336e-12	0.3907008328704549	8.096822890442847e-14	0	0.5861185557377507	2.4601521766779144	-0.8775946895992743	0.4388586532276126	0.4388585969949923	0.5861114033332686	1.7537420672872557	0.8775946895992743	0.019999999999999993	1.0	1.0	0.1	0.1	2.997725422294234
49.99041587670309	2.0704841057014489e-10	3.872937627658243	7.504295150238215e-12	3.8729376929515653	4.957366386397914e-11	0.3118668784336549	4.341102237732344e-12	0	0.6697692167199664	2.9425360420784923	-1.1869106629429136	0.5935567085670282	0.5935566538681951	0.6697586147816288	1.8941056947964938	1.1869106629429136	0.019999999999999993	1.2	1.2	0.1	0.1	2.997725422294234
42.30776017855946	1.7838376877141764e-10	3.2384690219059435	1.3482566902305702e-11	3.23846912472943	1.5675480629533727e-11	0.2602925370993717	1.0305352409813892e-12	0	0.7558999690944046	3.513135678380223	-1.5808387709459262	0.7905785247026469	0.79057845857389	0.7558813243690289	2.015856093613536	1.5808387709459262	0.019999999999999993	1.4	1.4	0.1	0.1	2.997725422294234
39.34993250110599	6.322326804747493e-12	2.9951744571165264	6.052193394760586e-13	2.995174577486283	2.8474278664971684e-13	0.2406456338444534	3.434666646217901e-14	0	0.7996140695514811	3.8310569507997503	-1.8135334741543594	0.9069630501730495	0.9069629737622842	0.7995896669101412	2.070758780919789	1.8135334741543594	0.019999999999999993	1.5	1.5	0.1	0.1	2.997725422294234
36.81074345105218	2.933196730770794e-12	2.7867992570583544	5.162116412817916e-13	2.786799394599579	6.155481694606331e-13	0.22388509436142612	1.0006885794281713e-13	0	0.8436628803815304	4.17055996527194	-2.0722116544279148	1.0363458542156267	1.036345764349122	0.8436314111349213	2.122188124973043	2.0722116544279148	0.019999999999999993	1.6	1.6	0.1	0.1	2.997725422294234
32.672208049430566	1.0104734388048121e-11	2.448225098595803	8.850531738803658e-13	2.448225270970362	8.222198726947748e-13	0.1968003596389582	9.016946212457615e-14	0	0.9325621188121471	4.913960085601668	-2.6740586253358636	1.3373798237836314	1.337379696720903	0.9325119977841518	2.2159295832624117	2.6740586253358636	0.019999999999999993	1.8	1.8	0.1	0.1	2.997725422294234
29.437803167692863	7.147253236438207e-11	2.1846097045681767	6.028658194217074e-12	2.1846099146130595	6.742783234020472e-12	0.17585805604499974	5.535651524528375e-13	0	1.0222868367643576	5.742789867952223	-3.399513123392559	1.700254728529725	1.7002545488134193	1.0222109126233583	2.2993249683300654	3.399513123392559	0.019999999999999993	2.0	2.0	0.1	0.1	2.997725422294234
26.83661908148768	5.098275711066823e-13	1.9732902868122748	8.926301462800197e-14	1.9732905391585625	6.624034902281223e-14	0.15917732286832453	9.244001276954524e-15	0	1.1126316051264986	6.656680386852559	-4.261768049304092	2.131575766185644	2.131575515898961	1.1125212236875481	2.374120379953048	4.261768049304092	0.019999999999999993	2.2	2.2	0.1	0.1	2.997725422294234
