SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	SigmaQ011	SigmaQ012	SigmaQ021	SigmaQ022	Mu	Ttt	Txx	Tyy	Txy	rho	T	S	Omega	EInternal	A0	B	P	muTB	c1
-2.658764231000532e-08	288.8863795988915	-288.88637956731066	-4.672472186939558e-09	9.687329195581325e-11	0.10487307342733776	-0.1048730737077559	1.7326102528724596e-10	-9.677704138994438e-12	0.10487307361637012	-0.10487307360492638	-1.6918298086040683e-12	1.3178584702719904e-07	3.807112602321237e-05	-3.807112612510865e-05	1.3178587478055865e-07	0.9999999985267101	1.4180727703205775e-09	-1.4564989214704838e-09	1.000000001401362	1.0	-0.19266314282390332	0.09633157141203938	0.09633157141186395	0	0.28888637959431224	9.999999999999448e-05	1.0487307361470755	-0.09632810984402362	0.19266314282390332	0.0	0.011982456679516008	0.1	3.4615685287909597	0.0
4.643183615371527e-09	144.44578391173673	-144.44578391622005	-3.984155227954034e-10	-7.906992886240992e-12	0.052438420280358	-0.052438420271094174	1.2316188296325532e-12	1.6954223456333889e-12	0.05243842028249175	-0.05243842028410933	-1.439795287082652e-13	1.31785805595694e-07	1.9035904415749638e-05	-1.9035904412413392e-05	1.317858089348339e-07	1.0000000000002065	-2.722799763432704e-11	6.73594513500575e-12	0.9999999999824762	1.0	-0.19267352712606556	0.09633676356347134	0.09633676356259421	0	0.28889156782270087	9.999999999952751e-05	1.0487684056518967	-0.09632291753720001	0.19267352712606556	0.0	0.023964052590902056	0.1	3.461506362185548	0.0
1.0438370168230904e-09	96.30007127832656	-96.30007127929827	-7.900524678916554e-11	-1.565023829837844e-11	0.03496103938732942	-0.03496103938745977	1.664993216659857e-11	3.823154281447893e-13	0.034961039404909515	-0.034961039405258625	-2.8440942543981703e-14	1.3178579703622126e-07	1.2690982193743015e-05	-1.2690982193888959e-05	1.3178580875923825e-07	1.0000000001036882	9.386269539390923e-11	8.331824119522935e-11	1.0000000000903824	1.0	-0.1926908330521851	0.09634541652565391	0.09634541652653116	0	0.2889002138347619	0.00010000000000000059	1.0488311821464993	-0.09631426390079145	0.1926908330521851	0.0	0.03594392737821181	0.1	3.461402768542055	0.0
-1.751843115016527e-11	72.22807901959881	-72.22807901954509	1.1826983836726868e-11	7.010467295798299e-13	0.026222976415110896	-0.026222976415432166	1.8578251545234145e-13	-6.213666551326532e-15	0.026222976415379066	-0.026222976415359193	4.301152310331045e-15	1.317857950079603e-07	9.518634797044805e-06	-9.518634797159485e-06	1.3178579482088137e-07	0.9999999999938858	-2.1884716261411086e-12	-4.192202140984591e-12	1.0000000000069447	1.0	-0.1927150587386282	0.0963575293701914	0.09635752936843676	0	0.2889123160784353	0.00010000000000000532	1.0489190566152242	-0.09630214924546865	0.1927150587386282	0.0	0.047921221509350485	0.1	3.461257773893418	0.0
1.0150458251700911e-10	57.78557447648514	-57.785574476597205	3.884892407768348e-12	5.522451663671534e-13	0.02098064032906842	-0.0209806403296607	-2.4789443806257905e-13	3.745241328163043e-14	0.020980640328899243	-0.020980640328939353	1.3502596405534015e-15	1.317857846531018e-07	7.615317262421093e-06	-7.615317262637444e-06	1.3178578436086811e-07	0.9999999999729725	-1.693933882052079e-11	-3.147704319417244e-11	0.9999999999873854	1.0	-0.19274620157965142	0.0963731007903522	0.09637310078929921	0	0.28892787238247264	9.99999999999931e-05	1.0490320164452436	-0.09628657400446575	0.19274620157965142	0.0	0.059895076686704844	0.10000000000000002	3.4610714146548562	0.0
1.1359801987964602e-11	48.15781332634583	-48.1578133263403	1.4654943925052066e-12	5.456089507224216e-13	0.01748616742471849	-0.017486167424250385	-4.5321985276378014e-13	4.184376029507048e-15	0.01748616742392554	-0.017486167423923324	5.42344856723362e-16	1.3178577206633208e-07	6.346514600828521e-06	-6.346514600651536e-06	1.3178577170511962e-07	1.0000000000073395	-1.3606893389805919e-11	9.919176591210999e-12	0.9999999999907518	1.0	-0.19278425822495962	0.09639212911247981	0.09639212911247981	0	0.2889468799580897	9.999999999999982e-05	1.0491700454355655	-0.09626753873767366	0.19278425822495962	0.0	0.07186463625622662	0.1	3.4608437375931564	0.0
-1.8459900275047403e-11	41.281333628714684	-41.281333628712716	-6.679101716144942e-13	-2.689758313858636e-13	0.014990473197507395	-0.014990473197167582	-1.971120596415489e-13	-6.6249414576790115e-15	0.014990473197265642	-0.014990473197264957	-2.4111658906958267e-16	1.317857569005766e-07	5.440291802209635e-06	-5.440291802086798e-06	1.3178575692650566e-07	1.000000000012986	-1.06368247543287e-11	1.1382894626876805e-11	0.9999999999894255	1.0	-0.19282922458585375	0.0964146122927513	0.09641461229310246	0	0.28896933540102315	0.00010000000000000147	1.0493331238086558	-0.09624504412755028	0.19282922458585375	0.0	0.08382904561445564	0.1	3.460574799787202	0.0
-1.8545165403338615e-12	36.12440433676526	-36.12440433674929	6.199485369506874e-13	-1.540075985108919e-14	0.013119015352840265	-0.013119015352563565	-5.826620810328743e-13	-6.52727517126241e-16	0.013119015352806875	-0.013119015352800913	2.406368726732686e-16	1.31785739847619e-07	4.76068135227513e-06	-4.760681352163427e-06	1.31785739644206e-07	1.0000000000227338	2.3490542844228912e-11	1.84385839929746e-11	1.0000000000206037	1.0	-0.1928810958368002	0.09644054791892696	0.09644054791787326	0	0.2889952346941262	0.00010000000000000148	1.049521228224556	-0.09621909098014847	0.1928810958368002	0.0	0.09578745261297805	0.1	3.4602646685798844	0.0
2.5870861009025248e-11	32.11384146781844	-32.11384146783644	-2.3874235921539366e-12	2.8545639222157865e-13	0.011663714797989609	-0.011663714797827884	-3.563070794995964e-13	9.435928545150402e-15	0.01166371479775026	-0.011663714797756668	-8.568545102902252e-16	1.317857205370157e-07	4.232145733852788e-06	-4.2321457337917804e-06	1.3178572030530384e-07	0.9999999999838114	-2.2239987629291136e-11	-1.460165321987006e-11	0.9999999999782052	1.0	-0.1929398664200521	0.0964699332094112	0.09646993321064087	0	0.28902457321035674	9.999999999999533e-05	1.0497343317975563	-0.0961896802234844	0.1929398664200521	0.0	0.10773900795982014	0.1	3.459913421521478	0.0
-8.094858117146941e-12	28.905734571622084	-28.905734571608647	2.5579538487363607e-12	2.2079166700802664e-14	0.010499724041461508	-0.0104997240408284	-2.433843027018712e-13	-3.1971467769875947e-15	0.010499724041152042	-0.01049972404114737	9.085994290937143e-16	1.3178569875395133e-07	3.8093624284844084e-06	-3.809362428251919e-06	1.317856986629269e-07	1.00000000000958	-1.355004997094511e-11	9.652723065300961e-12	0.9999999999891972	1.0	-0.1930055300475641	0.09650276502334275	0.09650276502422138	0	0.2890573457162487	9.999999999999624e-05	1.0499724041153256	-0.09615681290909611	0.1930055300475641	0.0	0.11968286561728567	0.1	3.4595211463045814	0.0
