SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	SigmaQ011	SigmaQ012	SigmaQ021	SigmaQ022	Mu	Ttt	Txx	Tyy	Txy	rho	T	S	Omega	EInternal	A0	B	P	muTB	c1
695.413315255716	-8.530207651347155e-10	-4.6412651499849744e-11	695.4133203119044	10.384990148236982	1.0957255550678631e-10	-4.814334127716658e-13	10.38499022384834	10.384990093349101	-1.2765375863645198e-11	-6.925884183732735e-13	10.384990169001723	0.15530906859330867	1.639966825953381e-12	-7.529979686795703e-15	0.15530906972467054	1.0042843743372032	6.3377683902595786e-12	-1.5774123858161741e-12	1.0042843744971606	1.0	-0.2210222165781018	0.11051110853006159	0.11051110804804025	0	0.3085431472082596	0.003999999999999995	1.151194381853685	-0.09212570815757251	0.2210222165781018	0.2	0.0	0.1	3.365029087213313	0.0
695.603494841104	-7.092921805451624e-10	-5.300933025864651e-10	695.6034999468608	13.07866574044346	2.6067497518219083e-11	6.287167319178819e-12	13.078665836637231	13.078665670353002	-1.3360762282561417e-11	-9.968861036871151e-12	13.078665766542938	0.24625956351560077	4.907095461863593e-13	1.1873802187967046e-13	0.24625956532789536	1.0051036491877312	-4.492184896479965e-14	3.5058774717499316e-13	1.005103649334501	1.0	-0.2233405043173659	0.11167025239271212	0.11167025192465377	0	0.31070692963114227	0.004999999999999994	1.1674385667483556	-0.09320361814751812	0.2233405043173659	0.2	0.0	0.1	3.340716447134716	0.0
695.1256499685954	2.0841639525315259e-10	-8.995471034722868e-11	695.1256550451135	15.797006416942905	1.049772153478979e-11	-3.0250577157394254e-12	15.797006532535297	15.797006331773606	4.742720621967531e-12	-2.048126895358988e-12	15.79700644737817	0.3595135382361787	2.388448687898665e-13	-6.944103690307139e-14	0.35951354086856685	1.0060025811329751	-1.0550329989589055e-13	-1.1103744548551087e-12	1.0060025812707636	1.0	-0.22569148643044448	0.11284574344150931	0.11284574298893517	0	0.3128857831134978	0.0059999999999999915	1.183914682083247	-0.09429778477555278	0.22569148643044448	0.2	0.0	0.1	3.3165857883409826	0.0
693.9299617872128	-1.6200374375330284e-11	1.0203393685515039e-11	693.9299667726241	18.53114004817897	1.8644901713730384e-12	3.1938026083704824e-13	18.531140181592253	18.531139948346812	-4.3375292181247765e-13	2.692073482393363e-13	18.531140081765017	0.4955863197340825	4.9809949358232864e-14	8.028577363662533e-15	0.49558632330453883	1.0069815494227896	-5.5323395156976415e-14	-5.798208945495369e-13	1.0069815495461398	1.0	-0.2280756299117294	0.11403781517499434	0.11403781473673504	0	0.3150796967042584	0.007000000000000009	1.2006252514297229	-0.09540844355253708	0.2280756299117294	0.2	0.0	0.1	3.292636953106783	0.0
691.9902956886122	-1.0967937669192906e-10	4.368416739453096e-11	691.9903005358655	21.27189092784189	-2.5301459107630836e-12	-1.4780921128169216e-13	21.271891077174	21.27189081403067	-3.3702673837097603e-12	1.3471288042915989e-12	21.27189096336507	0.6548552267897645	-7.746774161042293e-14	-4.4884742993163504e-15	0.6548552313905	1.0080408118540163	2.443286069580123e-13	-9.843905259529895e-15	1.0080408119674757	1.0	-0.23049340672875085	0.11524670357588454	0.1152467031528663	0	0.3172886566686402	0.007999999999999998	1.2175727861210135	-0.09653583222885745	0.23049340672875085	0.2	0.0	0.1	3.268869755322983	0.0
689.2963708931361	8.525802286385442e-09	4.820890353585128e-09	689.2963755629244	24.009959564898406	4.170050148464294e-10	4.972006448149005e-10	24.009959727444517	24.009959437425177	2.971888727039533e-10	1.6810692554819307e-10	24.009959600457048	0.8375546767436709	1.4535544002993071e-11	1.733538190563504e-11	0.8375546824186381	1.0091805108687595	-2.7604024402173647e-12	-5.4052967319632926e-12	1.0091805109834695	1.0	-0.23294529381558413	0.11647264711231882	0.11647264670326535	0	0.31951264653361705	0.009000000000000001	1.234759787316936	-0.09768019080388535	0.23294529381558413	0.2	0.0	0.1	3.2452839806424563	0.0
685.8499000918293	-2.7893065634998493e-10	3.501554601825774e-11	685.8499045813414	26.73608205747099	-1.1414981006228819e-11	-7.057175274330027e-13	26.736082232885373	26.736081918484487	-1.0887898227927295e-11	1.3662250257648287e-12	26.73608209390764	1.0437746080337893	-4.45607647766529e-13	-2.8406631923672737e-14	1.0437746148880103	1.0104006769064426	-1.805676850525953e-14	-5.413319453854506e-13	1.0104006769628313	1.0	-0.23543177301850984	0.11771588670438418	0.11771588631412563	0	0.32175164715228993	0.009999999999999997	1.252188746171433	-0.0988417615954944	0.23543177301850984	0.2	0.0	0.1	3.221879386647624	0.0
615.7535376960687	6.062350621505175e-11	1.0690826002246467e-10	615.753539865523	51.57705893179465	5.527476424189716e-12	5.086605663083675e-12	51.57705911407871	51.5770587034857	5.088975935992847e-12	8.95370591439822e-12	51.57705888579042	4.3274409990456375	4.641353031657193e-13	4.242054346650909e-13	4.327441014363589	1.026959825917288	2.2083517479884823e-14	-1.7295065763900645e-13	1.0269598259450277	1.0	-0.26230867002976344	0.13115433514727196	0.13115433488249148	0	0.3449611558724859	0.019999999999999993	1.4403273518582698	-0.11145903287988784	0.26230867002976344	0.2	0.0	0.10000000000000002	2.997725422294234	0.0
511.4112908729477	9.261214017897146e-11	-5.692868398909923e-11	511.4112916423627	68.98054068114082	1.4678108995841878e-11	-8.502407916425922e-12	68.98054078535252	68.98054013247912	1.253596041450283e-11	-7.762902078185883e-12	68.98054023671389	9.323440396355082	1.9840829469686014e-12	-1.1587117371287557e-12	9.323440410472946	1.0508710566998616	-1.265669381168665e-13	-1.5222654554201518e-14	1.0508710567046364	1.0	-0.293211040149631	0.1466055201467836	0.1466055200028474	0	0.3696318709800995	0.02999999999999999	1.6553227180276966	-0.12608051237129936	0.293211040149631	0.2	0.0	0.1	2.7912242752478287	0.0
411.21791424019375	1.1333156635373598e-10	6.406253305613063e-11	411.21791448083513	79.29881325180912	2.1001791588062002e-11	1.1841842435089315e-11	79.29881329846965	79.29881164293124	2.187163172080553e-11	1.2398977088400713e-11	79.29881168960095	15.33219252830856	4.051360138411326e-12	2.2925691261278237e-12	15.332192537357658	1.080770191630677	-3.7625609956818266e-14	1.4260398792224834e-14	1.0807701916275505	1.0	-0.3286993337634726	0.16434966689787325	0.16434966686559935	0	0.39570584680692955	0.039999999999999994	1.8994516999747502	-0.14298458104244693	0.3286993337634726	0.2	0.0	0.1	2.601717865394446	0.0
330.90896429854183	1.0915002235378779e-10	-8.363620906948199e-10	330.9089643724026	85.39887860141194	2.5557407609379485e-11	-2.08627390377533e-10	85.3988786205938	85.39887491782908	2.875702123590149e-11	-2.1617362132659586e-10	85.39887493702194	22.113702540288017	6.733233791168662e-12	-5.393394973328649e-11	22.113702545272186	1.1148857846386022	-1.8538102962670546e-13	-2.093942754962165e-13	1.1148857846351916	1.0	-0.369377587766362	0.1846887938539998	0.18468879391236218	0	0.4231077490495269	0.049999999999999996	2.1748013308063254	-0.1624702278234812	0.369377587766362	0.2	0.0	0.1	2.4283509581069276	0.0
270.95605688038876	6.123102025412663e-11	1.2420287021086551e-11	270.95605690592754	89.68018046189911	2.0089728120273567e-11	5.032995687060823e-12	89.68018047041643	89.68017371399121	2.0145285131122653e-11	4.389786350188312e-12	89.68017372251114	29.808728982542522	6.6122209813099555e-12	1.7558595464105153e-12	29.8087289853837	1.151391031157118	3.166343508046748e-14	-3.5717446982430904e-14	1.151391031154958	1.0	-0.4158892897327771	0.20794464480011987	0.20794464493265727	0	0.4517505303422495	0.059999999999999984	2.4832403700479277	-0.184855662812348	0.4158892897327771	0.2	0.0	0.1	2.2701245741966263	0.0
313.3172089414265	-1.1532108601386426e-10	-1.291056150876102e-10	313.31721563610677	4.676115536120405	1.904618150526502e-12	1.2394798828814374e-11	4.676115636561398	4.676114843771054	-1.740973021185256e-12	-1.937875063908755e-12	4.676114944249067	0.07001482222707685	2.8394298402292126e-14	1.8542574978734415e-13	0.07001482373497529	1.011148965674579	4.042559781085692e-13	-3.927233301882051e-13	1.0111489675636562	1.0	-0.2458821839293815	0.12294109170376681	0.1229410922256147	0	0.3226728640300864	0.003999999999999995	1.202762720973848	-0.08160173098460027	0.2458821839293815	0.3	0.0	0.1	3.365029087213313	0.0
312.77680794076275	-1.312798758590361e-10	-1.042366193360067e-10	312.77681470390667	5.876568848649145	-1.5058573957979038e-12	-2.301324438210921e-12	5.876568976418742	5.8765679268182565	-2.4773268386378654e-12	-1.9652715165498066e-12	5.876568054638676	0.11076994505551195	-2.8331592351985714e-14	-4.313405352465241e-14	0.11076994747089591	1.0130348486641765	2.963460638195035e-13	7.133964356833172e-13	1.0130348503802793	1.0	-0.2483043410668632	0.1241521702879154	0.1241521707789478	0	0.3248390791451136	0.004999999999999994	1.2190607518875975	-0.0826300418376884	0.2483043410668632	0.3	0.0	0.1	3.340716447134716	0.0
312.0098342986677	-1.4694023775518872e-11	1.0345502232667059e-11	312.0098410299217	7.084646221089866	3.7706101839244966e-13	-2.647996697346976e-12	7.084646374813795	7.084645050661689	-3.3555217048703083e-13	2.3298514630783463e-13	7.084645204451675	0.1613924493530169	8.639756917010045e-15	-6.023606224382704e-14	0.16139245286594558	1.015088341581702	1.322209217755132e-13	2.8555506398064585e-13	1.0150883431233524	1.0	-0.2507592423643399	0.12537962094881025	0.12537962141552966	0	0.3270201884567053	0.0059999999999999915	1.2355895621686959	-0.08367448346537756	0.2507592423643399	0.3	0.0	0.1	3.3165857883409826	0.0
310.9797863725411	4.6782133722444996e-11	-6.0254023992456496e-12	310.97979299532244	8.296766272398889	2.8657904485918925e-12	-1.7954349798407038e-12	8.296766450153347	8.296764836247148	1.2516253465235676e-12	-1.6184810515390958e-13	8.296765014082673	0.2220795229257162	7.700880328411003e-14	-4.849916121722674e-14	0.22207952769973743	1.0173109649115304	4.411070805031945e-13	-5.940252708295607e-13	1.0173109662840716	1.0	-0.25324735420199	0.1266236768780743	0.12662367732391575	0	0.3292161857736433	0.007000000000000009	1.2523519046600453	-0.08473529490427362	0.25324735420199	0.3	0.0	0.1	3.292636953106783	0.0
309.6671677321195	5.5990767577895895e-12	-9.79127889877418e-12	309.66717418639183	9.509203274350565	-7.477407158956191e-13	-7.390460564084608e-14	9.509203473794337	9.509201557466119	1.7362148163419356e-13	-3.032262496146479e-13	9.50920175700031	0.2929715649786434	-2.3190450546467812e-14	-1.9948774663628225e-15	0.2929715711455474	1.0197036230753724	-1.9759000853010758e-13	3.4793022758638924e-13	1.0197036242882973	1.0	-0.25576914821807867	0.1278845738937012	0.12788457432437744	0	0.3314270613347635	0.007999999999999998	1.2693504930484278	-0.08581271706107227	0.25576914821807867	0.3	0.0	0.1	3.268869755322983	0.0
308.0628200410049	-1.7834622667578515e-11	-1.7209345060109627e-11	308.06282628016544	10.718180770904159	-3.459350642955783e-13	-7.400383021006675e-13	10.718180989397924	10.71817876044994	-6.229020619752661e-13	-6.012811204567924e-13	10.718178979049798	0.3741505031270029	-1.214387524037481e-14	-2.589006735274352e-14	0.3741505107835199	1.0222667629758462	-4.6303440206475066e-14	-3.1225836180668814e-14	1.0222667640402392	1.0	-0.258325101317409	0.12916255045008732	0.12916255086732167	0	0.3336528019697688	0.009000000000000001	1.2865880148571887	-0.08690699278607453	0.258325101317409	0.3	0.0	0.1	3.2452839806424563	0.0
306.1646838299591	4.794742380909156e-11	-2.845013113983441e-11	306.1646898182279	11.91994697547917	-1.3320418330297927e-12	-5.469310837605771e-13	11.91994721020775	11.919944660833046	1.8762162076988346e-12	-1.1208779166181988e-12	11.91994489568015	0.4656395613019769	-5.185065947513759e-14	-2.1732784664496614e-14	0.4656395705088244	1.0250004437555162	3.863674660025261e-14	2.4739493451847094e-15	1.0250004446847356	1.0	-0.26091569567732653	0.13045784763455337	0.13045784804277313	0	0.3358933912053563	0.009999999999999997	1.3040671377153155	-0.08801836690518289	0.26091569567732653	0.3	0.0	0.1	3.221879386647624	0.0
273.28327289868525	1.5227641370074707e-10	5.919673640164547e-10	273.2832759361185	22.83888932238338	1.8177622940442078e-11	5.280019932472132e-11	22.83888957871995	22.838883813600436	1.2759771638301581e-11	4.982372911902824e-11	22.838884070146303	1.9161389214946656	1.5258349255264849e-12	4.445064123631826e-12	1.9161389431453195	1.0614972151595907	2.988433498722986e-13	2.707019346622902e-13	1.0614972152951623	1.0	-0.2888367226216142	0.1444183610760948	0.14441836154551943	0	0.3591100967311622	0.019999999999999993	1.4927223240270537	-0.10012782059008907	0.2888367226216142	0.3	0.0	0.10000000000000002	2.997725422294234	0.0
