SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	rhoH	S	Ttt	Txx	Tyy	FreeEnergy	InternalEnergy	rho	T	Ax	Ay	Gx	Gy	mu	Q
-3.5973892705349024e+16	-2526010753334500.0	-3.830349767666414e+16	914131401697845.2	-1897348157340934.8	-129956804925820.61	-2395470423077754.5	43789797121505.16	-1704230830891243.5	-119667488871877.53	-1814593772384155.2	43306153465778.27	-89885163475631.11	-6156586818467.126	-113483258065374.03	2074502277087.325	0.015791367041743647	0.9330609545249301	-0.41257305084198626	0.20628653121250934	0.20628653180089532	-0.20628652981205753	0.41257305084198626	0.5908677520182959	0.030000000000000002	0.0	0.0	0.09999999999999999	0.09999999999999999	37.417137506608974	21.108579925487035
-1454174393778107.0	-211292554731632.16	-2283375399119080.0	-230097916766613.62	-57380700543988.555	-16026929744798.232	-93116612016171.9	-19719217945704.113	-73559429775511.97	-10688236506137.832	-115504572932440.89	-11639505978310.04	-2902603449899.0435	-810722440254.6064	-4710304975692.178	-997496884769.3625	0.016861670807906265	0.965639761803996	-0.4144717266298951	0.20723587066516896	0.2072358689293733	-0.20723586992613968	0.4144717266298951	0.5917727639401109	0.031	0.0	0.0	0.1	0.1	35.09573699319243	19.76870128297433
1.0897247385307798e+16	-1.6909116798742878e+16	-9466940154311816.0	1.911928363159225e+16	836217284415571.4	-947096151017743.9	-764229909041478.0	1127658361677089.2	587374705343350.1	-911421677979770.0	-510279429935596.2	1030552321370946.2	45073114674705.484	-51049618584038.016	-41192908793006.54	60782138323396.09	0.017967066500828334	0.9983613823128533	-0.4164357041162397	0.2082178595964322	0.20821785810802995	-0.20821785792295733	0.4164357041162397	0.5927059978051857	0.032	0.0	0.0	0.09999999999999999	0.09999999999999999	32.98846797154217	18.55246282513509
-6183266393126274.0	1.2872437158637256e+16	7315013341580092.0	-1.4650966356080654e+16	-378481602487341.56	630489976197170.2	448002370781923.56	-726660307066859.4	-354441291744534.7	737882369014495.9	419316039949437.25	-839832397699655.8	-21695573109430.344	36141364027875.555	25680688637494.39	-41654103433514.766	0.019107554120509844	1.0312300414927729	-0.41846528108728875	0.2092326383079704	0.20923263778673779	-0.20923263080242643	0.41846528108728875	0.5936673205204537	0.032999999999999995	0.0	0.0	0.1	0.1	31.069770457076224	17.445107376435566
-2.0357924411758668e+16	7245986361237809.0	1.8787181400603936e+16	-3592198085868290.0	-1807579874298837.5	347578020293966.5	1523613704146138.5	-106580718281590.27	-1238767506076020.2	440913929741622.7	1143188734720991.8	-218583101801472.34	-109990152612269.22	21149914335947.875	92710981253973.28	-6485372865674.703	0.02028313366695071	1.0642499311561586	-0.4205607174111908	0.210280373282546	0.21028037476724404	-0.21028037610858008	0.4205607174111908	0.5946565958604615	0.033999999999999996	0.0	0.0	0.1	0.1	29.317787163694547	16.434015512922432
5.7842542335199416e+16	-6.375049412988278e+16	-6.139750099091382e+16	6.766961330720676e+16	4298765669571074.5	-3955353744906025.5	-4547951906947050.0	4193688635459069.0	3729769001290780.5	-4110722095247734.5	-3958997767172427.0	4363432447003015.0	277190494934768.06	-255046807960105.84	-293258376224067.4	270414979047044.28	0.02149380514015114	1.0974252088267884	-0.4227223824548161	0.2113611917894312	0.21136119481683463	-0.2113611844110208	0.4227223824548161	0.5956736845568993	0.035	0.0	0.0	0.1	0.1	27.71373801300994	15.5083444350517
799265259592748.9	-2099197673612131.0	3099748688760959.0	789668841067949.5	324609084528806.25	-131570433777686.17	-84663845071034.2	13352830264696.113	54524841456711.516	-143204548135019.28	211460843295576.06	53870186206358.125	22144411579154.203	-8975564690218.578	-5775657923585.728	910912797025.4785	0.022739568540110874	1.1307599971100117	-0.4249505291755131	0.21247528287674947	0.21247528114725528	-0.21247527510902575	0.4249505291755131	0.5967184443885785	0.036000000000000004	0.0	0.0	0.09999999999999999	0.09999999999999999	26.241414534139903	14.658736059365998
-1.5171810194151096e+16	3.6931854539581544e+16	9361458533851472.0	-1.9185873221278216e+16	-2200349445773483.0	2143105045834276.5	46980261813130.19	-730692663754484.1	-1093299935071701.0	2661356400686322.5	674598605984532.4	-1382558421090967.0	-158559979027855.53	154434874776229.72	3385457406377.8276	-52654642499292.43	0.024020423866830155	1.1642583830931335	-0.42724552954380934	0.21362277234357266	0.21362277023840834	-0.21362276090359616	0.42724552954380934	0.5977907302729596	0.037	0.0	0.0	0.1	0.1	24.886768592721662	13.877079571174823
-6946101975765074.0	3289820059645679.0	6272384427056302.0	-3581825052951126.5	-537503391401482.6	265065420211412.0	470030026016188.3	-264797745248772.88	-527967052492426.94	250056305850631.7	476758378959381.6	-272251346488740.0	-40855156208913.375	20147387572908.68	35726565530499.88	-20127041836329.566	0.02533637112030878	1.1979244177758903	-0.42960766257650396	0.21480385190531517	0.21480384563669414	-0.21480385965654486	0.42960766257650396	0.598890394357565	0.038	0.0	0.0	0.1	0.1	23.637575859371708	13.156317128073637
-6231275293947556.0	2381087021745924.0	4287245266068644.5	-1971993899332192.5	-456506115669267.4	174587298411668.38	318248335711563.5	-151876327174938.03	-498889801395667.2	190635138931902.44	343246420423918.6	-157882230904944.97	-36548898040720.21	13977848597927.2	25479671737799.453	-12159557574771.773	0.026687410300546825	1.2317621155311962	-0.43203732635606557	0.2160186840674044	0.21601868101661872	-0.21601868226229115	0.43203732635606557	0.60001728611264	0.039	0.0	0.0	0.1	0.1	22.483158888604876	12.490283979578127
