SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	rhoH	S	Ttt	Txx	Tyy	FreeEnergy	InternalEnergy	rho	T	Ax	Ay	Gx	Gy	mu	Q
-5787863107196678.0	1.291753693622456e+16	7890890061741435.0	-1.3606169545185094e+16	-1676090332277710.5	2966117232807986.0	2218430506008232.0	-3160293978387405.5	-1367622790770378.5	3052304034736485.0	1864550160919060.5	-3215022059167827.5	-396045880035185.7	700868256998173.6	524196247140788.06	-746750569308192.5	0.07876382961154216	2.263982618920459	-0.5290903133359264	0.2645449896590403	0.26454493013681213	-0.26454446623977507	0.5290903133359264	0.6419479441080305	0.067	0.0	0.0	0.09999999999999999	0.09999999999999999	8.150288619463732	4.232061023154006
-3220969903439416.5	3710115952245882.0	2089051518931700.2	-5391426194403214.0	-874628061420686.4	914674002985516.6	522036813690723.75	-1319676229832869.0	-783976357064189.4	903033333351408.9	508470134347621.4	-1312260217878865.2	-212882374543926.12	222629460770865.7	127062509653887.02	-321206032401549.1	0.08113253466780292	2.304367660724572	-0.5336582201615659	0.26682925591460604	0.2668291300202229	-0.26682901679239523	0.5336582201615659	0.6437902360246901	0.06799999999999999	0.0	0.0	0.1	0.1	7.9350440444272055	4.108503878230608
-2556853082185084.5	4092716127557121.0	4457143509339664.5	-7281691566811777.0	-765864074326877.2	858434416550174.2	1197994842009804.0	-1672271639111548.0	-640770381167487.1	1025671475352787.2	1117000255234464.8	-1824857405112455.2	-191932425937249.72	215131386364234.94	300228283314300.2	-419086314765236.8	0.0835363316508241	2.345026261733321	-0.538307488819421	0.2691537908988888	0.26915382614946953	-0.2691537702811268	0.538307488819421	0.6456544470409487	0.069	0.0	0.0	0.09999999999999999	0.09999999999999999	7.729025614149271	3.990279759071273
-3289712591392955.5	1441296278613846.5	-1679563981513685.5	-718551148111954.6	-973982117746476.4	370418583023485.25	-348382118313627.06	-139652872647821.28	-848501296877937.6	371747296340975.06	-433202651268815.4	-185332780328984.72	-251214982185988.9	95540458125562.73	-89856688384145.12	-36020059583451.74	0.0859752205606056	2.385961185732944	-0.5430374714984636	0.27151947465217274	0.27151924755938583	-0.27152019935029037	0.5430374714984636	0.6475403878474479	0.07	0.0	0.0	0.1	0.1	7.531709527761682	3.877086108762925
-9228830038977584.0	-6271029404839457.0	1.783772843898773e+16	1.6354251203199644e+16	-2233881449182696.0	-1636765394065759.2	4298555431016510.0	4273083013564254.5	-2448847940332430.5	-1664002628388041.8	4733198505502395.0	4339561375113527.5	-592755090588266.1	-434311775938760.4	1140611385104210.0	1133852340160290.2	0.08844920139714468	2.4271751566693216	-0.5478512893841365	0.2739259080105202	0.27392564587069673	-0.27392601587904186	0.5478512893841365	0.6494478691396566	0.071	0.0	0.0	0.1	0.1	7.3426086259834475	3.7686415260738606
-3531195123875511.0	-2307409308973472.0	3207327915881814.0	-3442920066780799.0	-1001161642056941.0	-613360677804625.5	1034660662306302.5	-834559363552202.9	-963574242574400.6	-629633905577859.6	875199035685601.5	-939486202040153.0	-273191805351385.2	-167370686072953.5	282332844555227.5	-227730238179422.88	0.09095827416044343	2.4686708588871107	-0.5527467753083902	0.27637367238597443	0.27637373252655417	-0.2763742282128746	0.5527467753083902	0.6513767016813927	0.07200000000000001	0.0	0.0	0.1	0.1	7.161269358879676	3.6646840148414994
-1.1994603164054139e+17	1.1161903330372842e+17	1.1320126356599885e+17	-1.0533982702639869e+17	-3.271169470623583e+16	3.093482013847533e+16	3.092157081976892e+16	-2.9301351033553844e+16	-3.3645739466487284e+16	3.1309955508099228e+16	3.1753782673135236e+16	-2.9548592205172236e+16	-9175869701897492.0	8677443385046422.0	8673726854209947.0	-8219243349755143.0	0.0935024388505034	2.510450937382672	-0.5577280349864671	0.27886239431377946	0.27886229835675835	-0.27886157980765724	0.5577280349864671	0.6533266963651891	0.073	0.0	0.0	0.1	0.1	6.987269042362514	3.564969400063489
-1.3638420819271222e+16	1.6094265837061768e+16	1.3638884946244912e+16	-1.5640390180116596e+16	-3502216913447239.0	4597034287813063.0	3514562034897695.0	-4511623511449985.0	-3931207787436871.5	4639093046779685.0	3931341569756507.0	-4508265618827790.0	-1009496816814940.5	1325072545483364.0	1013055237414070.2	-1300453308870932.8	0.09608169546731997	2.552517998069582	-0.5627896605582394	0.2813942228126258	0.2813939976411267	-0.2813943355707873	0.5627896605582394	0.6552976642718776	0.074	0.0	0.0	0.09999999999999999	0.09999999999999999	6.820213372433129	3.469269892793706
828122499000267.5	-1258370653719867.5	684200430248004.9	756167591795061.2	220960416217606.06	-381340703846204.2	264586173069004.8	233050525943905.94	245197243823218.03	-372588616264649.5	202583627328083.22	223892249758244.62	65423756891033.016	-112910456669847.53	78340825745675.28	69003494895963.336	0.09869604401089777	2.59487460805608	-0.5679364282531757	0.28396890822599075	0.2839689759219269	-0.28396858407987174	0.5679364282531757	0.6572894167288414	0.075	0.0	0.0	0.1	0.1	6.659734169858551	3.377372788077926
6721651923938071.0	2.339352342451076e+16	-7999588765680757.0	-5.629559476707451e+16	2558722115533738.0	7407950153584224.0	-3631585684262986.0	-1.7932449808247084e+16	2043627212237041.0	7112483895539979.0	-2432166597325509.0	-1.711591297748411e+16	777944797354796.0	2252286891983336.0	-1104134431820170.1	-5452118441256302.0	0.10134548448123475	2.637523295934336	-0.5731678831539876	0.2865850132307045	0.28658475460977034	-0.2865856527025232	0.5731678831539876	0.6593017653655012	0.076	0.0	0.0	0.09999999999999999	0.09999999999999999	6.50548733118922	3.289079282018409
