SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	SigmaQ011	SigmaQ012	SigmaQ021	SigmaQ022	rhoH	S	Ttt	Txx	Tyy	rho	T	Ax	Ay	Gx	Gy	mu	Q
5260630886075.022	1907515006017223.0	-831020730374705.5	-392988400935376.3	-54330366722690.17	251018913313753.62	-28456181340169.92	-51715200686040.266	692271276609.3788	251018913313731.47	-109357944772025.53	-51715200685980.555	-7149589686920.125	33032764954638.19	-3744683367908.118	-6805447630588.224	7.68359375	-0.25	4.5	2.9375	0.6141646699242883	1.6164166211407465	-0.2316618329286679	0.11583091677678341	0.11583091677300855	0.614164669924257	0.04999999999999999	0.0	0.0	0.1	0.1	14.001275544296817	7.599088773175333
185363.3950515762	-366603.69290889247	-708160.948585369	1.5776095812444356e+16	24392.825681253547	-48296.9287293029	-86430.17468818916	2076001200497988.8	24392.82568133761	-48248.95804346426	-93188.01032188669	2076001200498154.8	3210.0154274548804	-6356.440946177255	-11373.482295309728	273184255198921.38	2.9324104862462264	-2.4376440481864847	3.4924596548080444e-10	-6.0	0.6141849978163225	1.6164313502569785	-0.23168559259811883	0.11584277654316844	0.11584281922538914	0.6141849974493111	0.04999999999999999	0.01	0.0	0.1	0.1	14.001275544296817	7.599088773175333
46334.08657071914	-50216.28908358203	-15786.335975189033	461594155567190.75	6097.301995457033	-6607.778835921417	-10266.127763149121	60737528997240.66	6097.301995270515	-6608.28349780361	-2077.199261491879	60737528997234.92	802.4210117988788	-869.5556093692908	-1350.83866462175	7991971701109.07	2.932381071681448	0.24451632218551822	3.9835867937654257e-10	3.1875	0.6142459812787106	1.6164755402289783	-0.231756870075007	0.11587835554671222	0.11587852665395311	0.6142459798108785	0.04999999999999999	0.02	0.0	0.1	0.1	14.001275544296817	7.599088773175333
7405.879005453219	-6485.963403564098	-13325.73571128861	153324651254650.22	974.5550636299513	-852.6639019672211	-1282.8255271412468	20164628274869.81	974.5550636307449	-853.4978561458317	-1752.5460185852437	20164628274870.95	128.29452836175673	-112.20029130643653	-168.71194347839153	2651969074355.736	2.932175409973752	0.18833359325708443	-6.730260793119669e-11	3.3125	0.6146728564934346	1.6167849801604959	-0.23225581393513772	0.11612741025681649	0.11612848082321874	0.6146728473080207	0.04999999999999999	0.05	0.0	0.1	0.1	14.001275544296817	7.599088773175333
1844.7023236873833	-2545.6008821452424	-2166.2052649560496	-184079150460308.22	242.73301121203568	-334.8679828361081	-238.24306672856036	-24165972370513.707	242.73301121203573	-334.93167275272185	-284.3801508802521	-24165972370523.625	31.990577868922678	-44.07967074507429	-31.2766293935753	-3172516926291.3745	2.9314443529603977	-1.1573288077920552	7.275957614183426e-12	2.25	0.6161972813181197	1.6178916990750016	-0.2340378037832096	0.1170169047812862	0.11702120804849055	0.6161972443978416	0.04999999999999999	0.1	0.0	0.1	0.1	14.001275544296817	7.599088773175333
454.39309457844524	-828.6093715400555	-34.71527771817806	-237441736912329.78	59.77346649769363	-106.7500332871318	-62.85734546433577	-30951021933235.67	59.773466497833375	-109.18577592841403	-4.525208314435352	-30951021933113.023	7.913949244821944	-14.05848063547982	-8.193585101856844	-4034529780505.8037	2.9285745732117334	0.4141771162670693	7.183587058534613e-12	5.15625	0.6222929174701796	1.6223433999349137	-0.241166502640573	0.12057509190553148	0.12059264257578912	0.622292766920358	0.04999999999999999	0.2	0.0	0.1	0.1	14.001275544296817	7.599088773175333
196.90922461789836	-182.30570215150934	-251.89903072476534	258249308016671.34	25.886141448605585	-24.599545015754103	-29.24899448501479	33276299214866.145	25.886141449002942	-24.196358398671205	-32.45804444719749	33276299213799.055	3.454347027152305	-3.258819645225608	-3.7688321400004043	4287764013409.6313	2.923989828122899	0.4273959579304005	-1.5631940186722204e-12	7.09375	0.6324446475108841	1.6298527564982952	-0.2530503485021799	0.12650615521297656	0.12654695207164102	0.6324442979833187	0.04999999999999999	0.3	0.0	0.1	0.1	14.001275544296817	7.599088773175333
106.7774736815971	-233.47147634080434	-76.4855197869663	-22518709127979.58	14.019591522811757	-29.373584940470593	-8.77116788667197	-2856560496342.426	14.019591523196132	-30.908916801210076	-9.702399595686382	-2856560495989.48	1.89245090812788	-3.884494412545588	-1.1126468904751474	-362362594670.83875	2.918004657739118	0.21004403479506095	5.6985527407960035e-12	9.08984375	0.646639675659022	1.6405606041885066	-0.26969357337711475	0.13481125080605627	0.13488719263583063	0.6466390273021696	0.04999999999999999	0.4	0.0	0.1	0.1	14.001275544296817	7.599088773175333
65.06379165776889	-90.7740060509719	-93.73470441513463	3065134387204807.5	8.522349425020378	-20.867780848103813	-37.26640718115167	381421033013518.3	8.522349424541309	-14.152109297529638	-11.664215416908089	381421032873671.0	1.1685806823364437	-3.054103293787696	-4.637379547814254	47463499472996.31	2.911095814083666	1.1411412817249413	-8.384404281969182e-13	-10.0	0.6648569954716045	1.654677478316536	-0.29110258587984955	0.1454920814364254	0.14561804578067836	0.6648559279073673	0.04999999999999999	0.5	0.0	0.1	0.1	14.001275544296817	7.599088773175333
42.437688340784604	30.227485225821724	-73.85753607890838	1911797916170667.5	5.534194974201945	-0.41182069463284626	0.9105147813610143	232692065754051.38	5.534194970439232	3.9114469123665554	-8.989476596860412	232692065532508.0	0.7747131866873062	-0.020205632603899338	0.11082215509323427	28321820499621.906	2.903942797325165	4.483529351970674	-1.1652900866465643e-12	16.75	0.6870629455516244	1.6724999499056084	-0.3172866541346445	0.15855106382922365	0.15874633064627655	0.6870613116228699	0.04999999999999999	0.6	0.0	0.1	0.1	14.001275544296817	7.599088773175333
