SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	SigmaQ011	SigmaQ012	SigmaQ021	SigmaQ022	Mu	Ttt	Txx	Tyy	Txy	rho	T	S	Omega	EInternal	A0	B	P	muTB	c1
-1015057380588531.0	744083533271340.4	-408642056618753.25	373945140422301.9	-35631560161240.48	24195105577026.336	-15746060437352.346	14255872359037.295	-43865758824606.3	32155609564571.566	-17659488265418.24	16160059181962.21	-1539819772229.2231	1045592777585.0071	-680466841374.1256	616068284113.4807	0.875	-0.375	1.125	-0.0625	1.0	-0.21742780929815525	0.10871390464911734	0.10871390464903787	0	0.312631334172605	0.011000000000000001	1.2282163432411353	-0.10871390465010228	0.21742780929815525	0.0	0.0	0.1	3.1986557030393925	0.0
5994463211704647.0	-5155156553308356.0	-271051217456319.22	193274826506688.06	283638400943003.8	-242294340272469.88	-18741539957996.52	15034797227437.553	284651769917941.5	-244796637376644.6	-12871078871033.088	9177806169248.104	13468791115019.81	-11505536086198.717	-889956670284.5221	713939095128.8561	-1.0	-3.0	-6.09375	7.5	1.0	-0.21990208984846618	0.10995104492458868	0.10995104492387753	0	0.31489986844470563	0.011999999999999995	1.2461055273568675	-0.10995104492452185	0.21990208984846618	0.0	0.0	0.1	3.175612631847163	0.0
-5151336064616098.0	5541082656154008.0	569963561958883.5	-568956567210413.6	-350065971326424.0	367262976158354.8	38036350671755.234	-37517491537664.086	-266921518222184.9	287116619188282.25	29533219611586.406	-29481041193457.332	-18139010806575.383	19030090437380.902	1970890724578.0996	-1944005530896.7275	8.0	-5.0	-1.125	1.375	1.0	-0.22241239747618685	0.11120619873811882	0.11120619873806803	0	0.3171834266338561	0.013000000000000001	1.2642438139430183	-0.11120619873892851	0.22241239747618685	0.0	0.0	0.1	3.1527498476595297	0.0
-1.0013972863560404e+16	9385277121283212.0	-169176321983971.38	256878444181681.97	-557075340422299.25	519506827334197.44	-9957119544920.129	14934104829624.05	-562847415647911.44	527510813622833.56	-9508759102393.63	14438162596729.406	-31311091007529.605	29199507444294.87	-559651906342.7306	839389363531.8561	-2.0	2.0	-1.15625	2.15625	1.0	-0.22495923274015284	0.11247961637025035	0.11247961636990247	0	0.31948197935661926	0.014000000000000007	1.282633553827927	-0.1124796163700574	0.22495923274015284	0.0	0.0	0.10000000000000002	3.130066997875253	0.0
-532566460316256.1	560755537341241.75	44698738403822.88	-51751540816563.77	-35369320894884.35	37075356028114.69	4896728780368.798	-5325361595860.34	-32303895382932.508	34013760842007.37	2711292348918.6787	-3139094338481.4697	-2145397667880.203	2248880678114.744	297020984283.7155	-323020574308.79535	2.25	-0.9375	0.03125	0.953125	1.0	-0.22754310088897015	0.11377155044492483	0.11377155044404531	0	0.32179549498630633	0.015000000000000005	1.3012770898819959	-0.11377155044556614	0.22754310088897015	0.0	0.0	0.10000000000000002	3.1075637029740606	0.0
-3949582910643635.5	4033177429654176.5	-462482323301761.4	505591665217883.5	-448193956564624.2	455164751307746.9	-53727075472853.27	56709865591001.516	-257390308731324.78	262838078671382.3	-30139503504693.21	32948895553431.414	-29208345149762.406	29662624766528.99	-3501338965672.0103	3695724369589.4604	5.5	-4.5	0.25	1.3125	1.0	-0.23016451185281703	0.11508225592648579	0.11508225592633126	0	0.32412393967715397	0.015999999999999993	1.320176756447665	-0.11508225592749957	0.23016451185281703	0.0	0.0	0.1	3.0852395568067985	0.0
7729018318894773.0	-7815858140403013.0	57176641800950.74	-11862485762668.613	558548443112413.0	-566991719396550.2	10134799578853.115	-6819649848346.383	539042216517028.7	-545098655761493.94	3987650495540.277	-827321188161.0323	38954648363481.2	-39543504823006.016	706827775991.3145	-475620449900.5431	-12.0	16.0	-3.3984375	4.876953125	1.0	-0.23282398021942388	0.11641199010953743	0.11641199010988647	0	0.326467277390076	0.017000000000000005	1.3393348787784183	-0.11641199010988526	0.23282398021942388	0.0	0.0	0.1	3.063094126904419	0.0
-5998306252177973.0	5405342229541852.0	622423504390699.5	-500872063891587.8	-420469114051312.3	375765385063267.4	41972904524784.68	-32851806691681.09	-446145435485843.4	402041620011204.5	46294969571149.13	-37254147366428.16	-31273891013593.336	27948891622311.727	3121884575502.6875	-2443470370929.2856	5.0	-3.0	-0.5	1.375	1.0	-0.23552202521656973	0.11776101260849246	0.11776101260807724	0	0.328825469919933	0.018000000000000006	1.358753772487345	-0.11776101260813548	0.23552202521656973	0.0	0.0	0.1	3.041126954805268	0.0
1651570572278537.5	-1490009156112844.0	91250476772063.28	-70630714651652.36	134536451723017.02	-121682723227418.58	-964291003563.9182	2636896106008.126	130601730633774.69	-117825891133454.2	7215840720113.253	-5585285742091.915	10638778459289.488	-9622340400390.287	-76253522564.46634	208518606910.65118	8.25	-6.5	2.03125	-1.09375	1.0	-0.23825917069447405	0.11912958534768243	0.11912958534679163	0	0.3311984769242888	0.018999999999999993	1.3784357430058425	-0.11912958534692572	0.23825917069447405	0.0	0.0	0.1	3.0193375564001004	0.0
-735186890854738.9	836882679711902.5	7965259705525.943	-26208474117800.92	-60801157505140.4	69359803884103.56	2825156557332.335	-4358198434393.5425	-61637606116897.42	70163717035492.99	667802359447.8894	-2197301971366.5232	-5097530769892.024	5815082294494.18	236859347283.7451	-365388613181.22314	-0.75	1.25	0.1279296875	0.93359375	1.0	-0.24103594510355797	0.12051797255238554	0.12051797255117247	0	0.33358625595358665	0.019999999999999993	1.3983830850528487	-0.12051797255108565	0.24103594510355797	0.0	0.0	0.10000000000000002	2.997725422294234	0.0
-1.3673854504383944e+16	1.6757769289750456e+16	-225127993585795.28	215708919721731.12	-1245489075778335.2	1521074825648989.5	-19721222626284.96	18962246786764.242	-1212397034549138.2	1485833404621810.0	-19961051342904.258	19125905904042.586	-110431719275122.72	134866625014397.75	-1748589018709.0403	1681294163638.3984	16.0	-2.0	-1.1875	2.34375	1.0	-0.24385288147076217	0.1219264407352093	0.1219264407355529	0	0.3359887624827054	0.020999999999999994	1.4185980821151654	-0.12192644073636172	0.24385288147076217	0.0	0.0	0.1	2.976290018186223	0.0
9031609076899892.0	-1.0105290756286564e+16	2778069474901861.5	-3007809309026827.0	1037865099552146.9	-1084283204780163.1	321749725529288.3	-328166981351484.25	844959059089341.2	-945408165538868.0	259904403480186.94	-281397888464393.75	97098259071268.69	-101440940224120.11	30101540382303.66	-30701911633460.566	2.0	-6.0	12.0	-16.0	1.0	-0.24671051738278904	0.12335525869168937	0.1233552586910997	0	0.3384059499438403	0.021999999999999992	1.4390830059392667	-0.12335525869171515	0.24671051738278904	0.0	0.0	0.1	2.955030785262407	0.0
-1328754681335700.5	1696897725955407.5	113891241261358.05	-114450803589172.77	-142549487123181.8	179369579847535.2	10973515418192.957	-11144533531788.459	-130897159547617.83	167163356404580.78	11219557821973.932	-11274680953677.39	-14042714747493.76	17669904641607.945	1081013687981.5573	-1097860880029.3264	1.5	-1.25	-0.078125	1.171875	1.0	-0.24960939495342038	0.12480469747694681	0.12480469747647362	0	0.34083776976064983	0.02300000000000001	1.4598401160350156	-0.12480469747603481	0.24960939495342038	0.0	0.0	0.1	2.9339471406066826	0.0
