SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	rhoH	S	Ttt	Txx	Tyy	FreeEnergy	InternalEnergy	rho	T	Ax	Ay	Gx	Gy	mu	Q
-1.7122614474896642e+16	1.7546903721324622e+16	4.124041945516907e+16	-3.3919024371456884e+16	-330752289355520.2	262927077425098.75	663884755141164.8	-533270956979040.8	-260475208591491.16	266929645215552.38	627363705217724.9	-515988078884108.75	-5031519671735.885	3999738792055.4155	10099247420984.225	-8112304575831.371	0.005070783416737384	0.5205533114437837	-0.3937163601217598	0.1968581690448825	0.19685816861063735	-0.1968581674716542	0.3937163601217598	0.5817251212988697	0.016999999999999998	0.0	0.0	0.09999999999999999	0.09999999999999999	114.7209560121684	65.73606205168973
-1201882736893885.0	58237577928013.48	526880685187964.3	400398730667186.5	-12773931807587.414	6035411432169.399	2387140615598.217	2348105782075.055	-20497721154581.074	993223046178.2784	8985779589968.77	6828670784534.893	-217855273399.0047	102931988947.19138	40711910732.45253	40046184278.19845	0.005684892135027344	0.5516739811100954	-0.39478857980861576	0.19739425719757375	0.1973942589966695	-0.19739426800511994	0.39478857980861576	0.582252716153754	0.018000000000000002	0.0	0.0	0.1	0.1	102.42106663135239	58.63494423746399
-6165520366585696.0	-2.74046240961662e+16	-2795682301477320.0	271797843802648.22	-129284984010456.4	-606502581367900.4	-54654589574025.68	-13134106569519.912	-117158934118225.73	-520750294884756.5	-53124333243530.12	5164778280212.452	-2456709251379.03	-11524930865221.553	-1038561723656.7322	-249577948784.2764	0.0063340927800767935	0.5828798262383164	-0.395923125343798	0.19796153676818556	0.19796153321030327	-0.19796153131243271	0.395923125343798	0.5828099399577027	0.019	0.0	0.0	0.09999999999999999	0.09999999999999999	92.01158874571281	52.62526851229455
1.1144504403290662e+16	-9907168853296822.0	-7466939854190729.0	7756481785509330.0	227597045643664.62	-246502556706919.53	-167269905225522.06	158391372932222.1	234649279374247.6	-208596986275916.12	-157217583888201.62	163313934436769.12	4792091313834.0	-5190149799582.771	-3521893957938.54	3334955074957.9375	0.007018385351885634	0.6141754362663281	-0.397120207007193	0.1985600366689785	0.1985600300588017	-0.19856000952963465	0.397120207007193	0.5833967078115011	0.02	0.0	0.0	0.09999999999999999	0.09999999999999999	83.12406323694964	47.49430483234583
1321452186539847.2	-742740841798642.9	-1632162664105008.0	1273404632571706.5	50001156599245.555	-17442695446521.785	-54305597380014.4	23400358644066.625	30675278663474.574	-17241473077111.666	-37887897160046.586	29559935920026.35	1160692326064.4553	-404902688810.2561	-1260612642353.9524	543199768817.6285	0.007737769850453911	0.6455653781677286	-0.39837994272456656	0.19918988667527135	0.19918987868259758	-0.19918986088192125	0.39837994272456656	0.5840129306649655	0.020999999999999998	0.0	0.0	0.1	0.1	75.47561402729166	43.07873454181028
3171632741856731.0	-2917248271794276.5	-3155197281719972.0	3098317352159300.5	79551091540972.95	-76405818337816.78	-79619842297375.03	82282523309185.56	80802859020543.0	-74321972315029.33	-80384137095131.84	78935021985196.5	2026702382619.66	-1946571078682.2031	-2028453927684.701	2096290356403.128	0.008492246275781606	0.6770541954354614	-0.3997025216584263	0.19985118216438238	0.1998511670034154	-0.19985118602361424	0.3997025216584263	0.5846585153824604	0.022	0.0	0.0	0.09999999999999999	0.09999999999999999	68.84615641090156	39.251491596980024
-5528265894963462.0	3710710486248271.5	4806978053459786.0	-4504158714150995.0	-139810834967253.83	86234301381229.7	116025378010931.56	-112486068493600.45	-153937017751866.03	103326380613139.88	133852437637346.92	-125420298717753.05	-3893094759400.964	2401232399953.123	3230778152477.7354	-3132224507926.1714	0.009281814627868746	0.7086464070892644	-0.40108821449991755	0.20054402031530086	0.20054402284657477	-0.20054401767444446	0.40108821449991755	0.5853333648113089	0.023000000000000003	0.0	0.0	0.09999999999999999	0.09999999999999999	63.06238470371083	35.91251783164146
1199860098574981.0	-2654673340766982.0	-760633836960716.6	1955674616590320.0	11944678569576.082	-107967279794846.14	-12026513925893.53	100685421808812.94	36379067933452.38	-80488168511965.95	-23061980359326.984	59294929314812.62	362155782696.61914	-3273505811978.897	-364636983621.92725	3052724066948.5645	0.010106474906715285	0.7403465067077545	-0.4025372008204979	0.2012684163978238	0.20126843088015986	-0.20126849319292317	0.4025372008204979	0.5860373778524349	0.024	0.0	0.0	0.1	0.1	57.98632888930786	32.98215613357349
-1102600835223751.6	-3565550550142573.5	353907898655185.56	2692302532836238.0	-23446168155328.62	-115681497974907.08	1494738721854.4023	88393522195584.0	-36274113519898.46	-117301911339982.36	11643103180491.863	88573203090484.08	-771348014715.0677	-3805768738459.28	49174932892.306145	2908030318964.4976	0.010966227112321253	0.7721589614859027	-0.40404976418977967	0.20202461301226843	0.2020246026763306	-0.2020246593808982	0.40404976418977967	0.5867704495335303	0.024999999999999994	0.0	0.0	0.09999999999999999	0.09999999999999999	53.5070488257657	30.39635509270133
-2095535837793013.5	1976725810655391.5	806090008677430.5	98979985258685.52	-78338413153252.6	56217019353208.05	22927589653685.348	-14421540181855.312	-74565899603574.31	70338257014186.51	28683273067660.324	3522025970853.912	-2787532498819.3906	2000382215137.0657	815837323053.9371	-513164746665.30963	0.011861071244686687	0.8040882113185065	-0.40562596494244435	0.20281267608906967	0.202812658529141	-0.2028127996359459	0.40562596494244435	0.5875324710841091	0.025999999999999995	0.0	0.0	0.1	0.1	49.53452002466777	28.103138954050788
312534506093892.3	97360318536475.98	-573795790943024.0	33783093868258.6	17241975238825.307	-9903340199414.37	-21112909173157.742	4374593899639.5	11992893450419.889	3736009636505.0864	-22018278458547.094	1296359401243.0896	661626693635.8673	-380021090468.5179	-810166126315.7537	167866387564.5156	0.012791007303811549	0.8361386679104824	-0.4072660858604984	0.20363286570316175	0.20363283296378792	-0.20363298818586145	0.4072660858604984	0.5883233300127768	0.026999999999999996	0.0	0.0	0.09999999999999999	0.09999999999999999	45.99507419851926	26.05997521665066
-4774268585460151.0	-1.3931870239574142e+16	5513585798310893.0	1.4017376575350632e+16	-224882693778042.5	-499837786168896.94	227474785115263.5	550245884261641.8	-197025021432232.72	-574941896001148.1	227535242442996.78	578470580518450.6	-9280482814958.045	-20627358676988.824	9387453514684.855	22707605405739.65	0.01375603528969587	0.8683147139142614	-0.4089705750203751	0.20448497010833114	0.20448484408372497	-0.20448514715599025	0.4089705750203751	0.589142910186766	0.028	0.0	0.0	0.1	0.1	42.82795862175523	24.23178817976828
1456510056456144.5	-1202408150509769.8	990866569740409.5	-2685577070189330.5	36666087095171.11	-34036375355587.766	39153478698441.42	-60331336134120.18	64477465340507.66	-53228763856442.836	43864142663699.516	-118886376166678.61	1623151415516.596	-1506738111816.4736	1733264425157.1577	-2670775678678.874	0.01475615520233954	0.9006207020951711	-0.410739774941696	0.2053691519605743	0.20536919343489124	-0.2053693173314538	0.410739774941696	0.5899910919123899	0.028999999999999998	0.0	0.0	0.09999999999999999	0.09999999999999999	39.982711202345065	22.589443439879112
752666675607883.0	1274260311685850.5	-429992741192221.25	-2105659708574426.2	-83565990563292.77	-51685391582907.74	110011031649535.64	35074679123151.03	35656907203838.016	60366936865672.5	-20370519604355.1	-99753735969326.55	-3958863687575.4297	-2448548967545.7544	5211673738255.943	1661631395715.1548	0.015791367041742603	0.9330609545249369	-0.41257336490247565	0.2062861991322132	0.2062861188014585	-0.20628621575168937	0.41257336490247565	0.5908677520184169	0.030000000000000002	0.0	0.0	0.09999999999999999	0.09999999999999999	37.417137506608974	21.108579925487035
2891104118783080.5	-2502287464641094.5	-3387689397846299.0	2391122895547078.0	144896133933433.5	-130893544974303.9	-176831692025683.6	129010232016916.06	146246537766902.22	-126578242486581.8	-171366310277750.44	120954981377883.67	7329572735171.341	-6621251598709.561	-8945033338026.156	6525984189362.354	0.01686167080790517	0.9656397618039982	-0.4144721342903801	0.2072351918512007	0.20723515710799087	-0.20723546226580497	0.4144721342903801	0.5917727639402611	0.031	0.0	0.0	0.1	0.1	35.09573699319243	19.76870128297433
7582470512820442.0	-658552971358955.1	-2.3566065258711864e+16	4000287939356164.0	322040370286558.6	171083622055657.66	-1177712449347113.8	-203925101485878.9	408704255833229.94	-35496795092172.1	-1270239184998364.0	215620318286613.34	17358362246669.342	9221612444029.42	-63480113688816.766	-10991807578754.47	0.01796706650082722	0.9983613823128552	-0.4164365854878454	0.2082171453363656	0.20821727044449367	-0.20821697655157417	0.4164365854878454	0.5927059978054082	0.032	0.0	0.0	0.09999999999999999	0.09999999999999999	32.98846797154217	18.55246282513509
3412688545307213.5	-397248578861348.94	-2589323079632666.5	7077993860112.568	369211293455017.94	8660745354811.265	-296246759596692.9	-27076359511641.58	195624393227702.84	-22771346159666.953	-148426892638694.56	405729452239.1348	21164174314785.39	496456981772.9909	-16981652976057.943	-1552089014265.2224	0.01910755412050843	1.0312300414927806	-0.41846594696492107	0.20923170965454346	0.2092317771482737	-0.20923196492490403	0.41846594696492107	0.5936673205205634	0.032999999999999995	0.0	0.0	0.1	0.1	31.069770457076224	17.445107376435566
3.2310567024197096e+16	-3.292179654582326e+16	-2.5069910199376484e+16	2.6060085392829064e+16	1830236357874780.5	-804160828665749.6	-1438090159885487.5	724779371089620.0	1966078649420273.0	-2003271599685262.5	-1525489018777204.0	1585740586184696.5	111368786066661.3	-48932704732659.6	-87506924814251.12	44102390588577.48	0.02028313366694911	1.0642499311561717	-0.4205618527446077	0.21027982876792303	0.21027953783986447	-0.2102792407753048	0.4205618527446077	0.5946565958606027	0.033999999999999996	0.0	0.0	0.1	0.1	29.317787163694547	16.434015512922432
