SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	SigmaQ011	SigmaQ012	SigmaQ021	SigmaQ022	Mu	Ttt	Txx	Tyy	Txy	rho	MuRho	T	S	Omega	EInternal	A0	B	P	muTB	c1
2782.42330790328	-1.3458100056595867e-07	3.368199941178318e-09	2782.423321220581	10.16679220632379	-2.129896791635567e-10	-1.866097685671702e-10	10.166792255436043	10.166792360027722	-4.919673575895422e-10	1.2299984551843512e-11	10.166792408706545	0.03716215471560918	-7.792030843998267e-13	-6.814272154822694e-13	0.037162154895128675	1.000483520430862	-3.932680470415249e-11	5.39188144563905e-11	1.0004835203681068	1.0	-0.19899719975547253	0.09949859992470739	0.09949859983076514	0	0.293619302302445	1.029949847739889	0.000999999999999994	1.0728439912412417	-0.0956949465382137	0.19899719975547253	0.1	0.0	0.1	3.4390600442094232	0.0
2792.1978716923772	-4.0169516068999656e-07	2.731803760980256e-08	2792.1978866664226	20.55339201113246	-2.1206975646842996e-09	-4.5218994046622263e-10	20.553392122792207	20.55339236273795	-2.9578847425936283e-09	2.0114731324057244e-10	20.553392473004283	0.15134793161416274	-1.561524595834205e-11	-3.329687949544001e-12	0.15134793243640915	1.000622516108706	7.4695037891924e-12	3.2397567752143037e-12	1.000622516167823	1.0	-0.2011580819385376	0.10057904101580657	0.10057904092273101	0	0.2957368048802256	1.029805127436044	0.0019999999999999944	1.0883806983371977	-0.09675548433836237	0.2011580819385376	0.1	0.0	0.1	3.414200799486534	0.0
2800.6972363012674	-2.9817545055266237e-07	7.485652986360947e-08	2800.697252164595	31.148802168347597	-1.5694677046346173e-09	-1.6011971609333019e-09	31.148802348848456	31.1488027638815	-3.3177133705219245e-09	8.328143762117741e-10	31.148802940378562	0.3465546751136095	-1.7467832608898914e-11	-1.782097424675762e-11	0.3465546771218821	1.0007821848957974	-2.564675759983645e-11	-4.972870757041155e-11	1.0007821849139873	1.0	-0.20335026109494195	0.10167513059325486	0.10167513050168708	0	0.297869475012898	1.029660933909575	0.0030000000000000096	1.1041424631456445	-0.097831641307393	0.20335026109494195	0.1	0.0	0.1	3.389523837794453	0.0
2806.745539868638	2.0386858068377478e-07	-2.7837131710839458e-08	2806.74555681747	41.924061860888564	2.3928760930792115e-09	-1.5149104721881748e-10	41.924062112977204	41.92406274307718	3.045585777094565e-09	-4.159035683332627e-10	41.92406299633863	0.6264387050695253	3.574606856983366e-11	-2.272798868797836e-12	0.6264387088364315	1.0009623437367736	4.9386497147883e-12	-4.415874676453638e-11	1.0009623438209019	1.0	-0.20557418984417816	0.10278709496722215	0.10278709487695602	0	0.30001730752763683	1.0295172799258416	0.003999999999999995	1.1201317318969208	-0.09892364461104636	0.20557418984417816	0.1	0.0	0.1	3.365029087213313	0.0
2809.9076609415442	-5.59582986170426e-07	9.038103598868474e-10	2809.9076770225324	52.845536175692644	-1.1199563405014277e-08	3.9788665924675917e-10	52.84553647722532	52.84553739231765	-1.052673015600086e-08	1.7008957053948923e-11	52.84553769487201	0.994212787095343	-2.1067372072936577e-10	7.48145037591425e-12	0.9942127927685189	1.0011630191520453	3.0478966445132014e-11	-1.21778686601809e-11	1.0011630191934273	1.0	-0.20783032560445724	0.103915162846737	0.10391516275772023	0	0.3021802946921992	1.0293741776263945	0.004999999999999994	1.1363509375467327	-0.10003172377547562	0.20783032560445724	0.1	0.0	0.1	3.340716447134716	0.0
2809.9617004380125	1.3625708561448846e-07	-2.9085413189022802e-08	2809.961717139301	63.87680495329162	3.7123371174456626e-09	-5.903404417049788e-10	63.87680533385461	63.87680655023555	3.09673787229269e-09	-6.609965348105639e-10	63.87680693004437	1.4525823983968276	8.438862382341622e-11	-1.344766052323851e-11	1.452582407051368	1.0013842784715052	1.8572932957905942e-11	-6.298787667557774e-11	1.001384278565638	1.0	-0.2101191306161638	0.10505956535226246	0.10505956526390132	0	0.3043584262708546	1.0292316386834464	0.0059999999999999915	1.1528025061832767	-0.10115611069179042	0.2101191306161638	0.1	0.0	0.1	3.3165857883409826	0.0
2806.7860467278	-4.787842726727831e-07	2.5606709641579073e-08	2806.7860625261947	74.97963300490609	-1.2723177346662315e-08	8.35464234753952e-10	74.9796334269177	74.97963502594192	-1.2800117777877748e-08	6.84636906573656e-10	74.97963544814151	2.0036983154988355	-3.40103645006155e-10	2.2223757536688397e-11	2.003698326776881	1.0016261887712972	6.516852278245662e-11	-1.5642762016001498e-10	1.0016261889381894	1.0	-0.21244107194514464	0.10622053601618454	0.10622053592896007	0	0.30655168955078776	1.0290896743481766	0.007000000000000009	1.1694888583361756	-0.10229703961399636	0.21244107194514464	0.1	0.0	0.1	3.292636953106783	0.0
2800.3224030240417	-4.450498636288103e-09	1.851094566518441e-08	2800.322418547774	86.11471582549724	-2.192793122661339e-10	5.761429162570617e-10	86.11471630303035	86.11471831447037	-1.371734690640257e-10	5.695197593927188e-10	86.11471879204935	2.6491230491007416	-6.759309815192697e-12	1.772980596187731e-11	2.649123063791793	1.001888803053589	-5.874634549948576e-12	4.063678760324619e-12	1.0018888030658673	1.0	-0.21479662147834466	0.10739831078218963	0.10739831069615507	0	0.3087600693616668	1.028948295473307	0.007999999999999998	1.186412409188149	-0.10345474715682731	0.21479662147834466	0.1	0.0	0.1	3.268869755322983	0.0
2790.5602527359697	1.2495922874222742e-07	3.333298081997782e-10	2790.5602678525047	97.24234726557584	3.99431513580214e-09	3.4821210522511875e-11	97.24234779200792	97.2423502631354	4.356110665956941e-09	1.162166659038563e-11	97.24235079012118	3.3898109019617655	1.3924437214507982e-10	1.2143875240374807e-12	3.3898109203140216	1.0021721550983784	1.0035310740263051e-12	3.8794488942263235e-13	1.0021721551147493	1.0	-0.21718625591704138	0.10859312800114206	0.10859312791589934	0	0.310983548093587	1.0288075125265157	0.009000000000000001	1.2035755683874498	-0.1046294722920327	0.21718625591704138	0.1	0.0	0.1	3.2452839806424563	0.0
2777.5288194845984	1.1906864756383584e-06	-5.91201114730211e-08	2777.5288349411962	108.32304583007459	4.76512118861966e-08	-6.50001128642167e-09	108.3230464388103	108.32304937960298	4.644909264996722e-08	-2.3059893604364398e-09	108.32304998265725	4.226101679541866	1.8588889232558562e-09	-2.535938748999065e-10	4.226101703292326	1.0024762584725977	-3.689210802930584e-12	-1.534317315118045e-11	1.0024762585076132	1.0	-0.2196104567667544	0.10980522842581043	0.10980522834094396	0	0.3132221057151703	1.0286673355998575	0.009999999999999997	1.2209807396792924	-0.10582145634520881	0.2196104567667544	0.1	0.0	0.1	3.221879386647624	0.0
