IntegralExpB0	IntegralExpB0AtOverQtt	IntegralExpB0Test	ax	ay	Gx	Gy	mu	T	SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	mutimesrho	murhooverst	soverrho	rhoovers	Ttt	Txx	Tyy	rho	EInternal	Ax	Ay
1.000000004224127	1.719529597294566	0.9997518945216666	0.01	0.01	0.1	0.1	3.4390600442094232	0.000999999999999994	281733.21864521113	0.00011551418370081479	1029.4565788348327	4.220917946649827e-07	1029.4565788299856	4.201655225210019e-07	3.761660106938535	1.5352955992939568e-09	0	0.29080557456411016	1.0626068151438481	0.29086428017606614	273.66846802824716	3.6541160598757214	0.2736645554145586	-0.19461479570213502	0.09730826965926521	0.09730826966869542	0.2908056133847286	0.19461479570213502	0.01	0.01
1.0000000042230754	1.7170369826482852	0.9999147154090595	0.01	0.01	0.1	0.1	3.434073610135725	0.0011999999999999962	280719.0412951738	0.0006866754084169063	1232.6883301904313	3.0153269563619064e-06	1232.688330186963	3.0216294782235464e-06	5.412977777978577	1.3268570253117864e-08	0	0.2912278049942535	1.0656947122117875	0.2912865442325389	227.7264547575246	3.659419783128439	0.2732679050915449	-0.1950404567211404	0.09752110026845216	0.09752110022526392	0.2912278358859599	0.1950404567211404	0.01	0.01
1.0000000042440367	1.7145481346113425	0.9999462327032469	0.01	0.01	0.1	0.1	3.429094468948998	0.0014000000000000089	280607.5978047035	0.00018995710303302695	1439.6528508034082	9.7457520562479e-07	1439.6528508028075	9.738311047114457e-07	7.386142546457824	4.9962415091580985e-09	0	0.2916506391363562	1.0687915259983287	0.29170941585785715	194.9111161882857	3.6647327491416064	0.2728717321754914	-0.19546735422812023	0.09773454911358358	0.09773454911548624	0.2916506660191964	0.19546735422812023	0.01	0.01
1.000000004261696	1.7120629211348337	0.999959216741106	0.01	0.01	0.1	0.1	3.4241226203498476	0.0016000000000000105	280675.69605753745	0.00011369816851202128	1648.1064138338425	6.67629402661191e-07	1648.1064138358001	6.681385394060687e-07	9.677590425955296	3.92327286243976e-09	0	0.29207407987812084	1.0718972886772493	0.2921328951569666	170.2999693901364	3.670053702883915	0.27247611708661995	-0.195895492248049	0.09794861812155774	0.09794861814341119	0.29207410384103993	0.195895492248049	0.01	0.01
1.0000000042742292	1.7095813248312925	0.9999663506382138	0.01	0.01	0.1	0.1	3.4191580639928443	0.0018000000000000032	280805.60669547244	1.5744817300187997e-05	1857.6712696356872	1.0416033726427028e-07	1857.671269633566	1.0343521684280633e-07	12.289479815538364	6.842787940057848e-10	0	0.2924981277130532	1.0750120218656836	0.2925569821227904	151.15828670809415	3.675382436613497	0.2720810731311509	-0.1963248745885287	0.0981633093611043	0.09816330936843637	0.2924981493353063	0.1963248745885287	0.01	0.01
1.0000000042820916	1.7071033428133515	0.9999709188249909	0.01	0.01	0.1	0.1	3.414200799486534	0.0019999999999999944	280960.65007258527	0.005735139267887945	2068.2174230685087	4.22178435604459e-05	2068.2174238976404	4.1748369176318524e-05	15.224689060450748	3.07320530466006e-07	0	0.29292278280417267	1.0781357456776173	0.2929816767298823	135.8452297280422	3.6807188839745693	0.2716866045242007	-0.1967555044100895	0.0983786243500944	0.09837862434005078	0.2929228024730007	0.1967555044100895	0.01	0.01
1.0000000042729609	1.6947676784479146	0.999981244551066	0.01	0.01	0.1	0.1	3.389523837794453	0.0030000000000000096	281768.28333810734	3.379411219578253e-05	3133.894671601297	3.7586747746195604e-07	3133.894671600221	3.7395416664238593e-07	34.85605460149473	4.1592217760128076e-09	0	0.29505516824465566	1.0938899074013648	0.295114263051972	89.9089553102636	3.7075161664171445	0.26972293176388107	-0.19892749506541463	0.09946462012215708	0.0994646201556325	0.29505518143197035	0.19892749506541463	0.01	0.01
1.0000000042165735	1.6825225267509893	0.9999854621409572	0.01	0.01	0.1	0.1	3.365029087213313	0.003999999999999995	282389.27056991763	0.0006169015593754191	4218.218374137439	9.21506888299583e-06	4218.218374127607	9.201869667974257e-06	63.01028798590868	1.3745445587757028e-07	0	0.2972027349167075	1.1098717430512652	0.2972620335082998	66.94444045105202	3.73450466687012	0.2677737351725143	-0.2011312214268152	0.10056648353668424	0.10056648352280519	0.2972027444455105	0.2011312214268152	0.01	0.01
1.000000004135117	1.6703679685332993	0.9999879219976183	0.01	0.01	0.1	0.1	3.340716447134716	0.004999999999999994	282728.474331046	0.00010503668036153052	5317.525855961561	1.9755214734291995e-06	5317.525855954714	1.968785638708574e-06	100.01179155585712	3.7028764291498796e-08	0	0.29936547593228774	1.1260836540803296	0.2994249797520708	53.168628729843725	3.761684092299249	0.2658390191710139	-0.2033671409646111	0.10168444357666526	0.10168444360120209	0.2993654831367857	0.2033671409646111	0.01	0.01
1.0000000040387904	1.658304024851958	0.9999895928897541	0.01	0.01	0.1	0.1	3.3165857883409826	0.0059999999999999915	282753.85006859957	0.00032841249369264486	6428.034337227247	7.466050324318026e-06	6428.034337237807	7.4565418941462345e-06	146.1333649955618	1.6951521684179747e-07	0	0.3015433811261529	1.142528035738637	0.30160309103155547	43.98716713348006	3.789054245202285	0.2639187777507633	-0.20563571615482282	0.10281873138377803	0.10281873142055334	0.3015433867422344	0.20563571615482282	0.01	0.01
