IntegralExpB0	IntegralExpB0AtOverQtt	IntegralExpB0Test	ax	ay	Gx	Gy	mu	T	SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	mutimesrho	murhooverst	soverrho	rhoovers	Ttt	Txx	Tyy	rho	EInternal	Ax	Ay
1.0004016556326345	0.7130753925451624	0.8234015643181859	1.4	1.4	0.1	0.1	2.997725422294234	0.019999999999999993	24.151019500926104	8.481308275714795e-12	1.827347622895157	1.2808896275909887e-13	1.8273470758222474	1.3108522181732068e-12	0.150392131506995	1.2059913587586294e-13	0	0.753961447085941	3.4565305234041723	2.314980181873714	19.98762046570199	1.250152152418071	0.10169659184751756	-1.4888022995019339	0.7722905663535271	0.7722903908477686	0.7539497924554044	1.4888022995019339	1.4	1.4
1.0006824911451766	0.5803743120809167	0.8556626015956191	1.8	1.8	0.1	0.1	2.997725422294234	0.019999999999999993	18.45236547230421	6.49700978887447e-12	1.3537672306545958	5.153862888447149e-13	1.3537666436726206	3.498312123012999e-13	0.11240128596063673	2.9163983310071417e-14	0	0.9308222857250784	4.8381747446201135	3.9328365611145815	24.140145893127677	-0.4941634220947866	0.08822985408237838	-2.4821280612369705	1.2989707024132098	1.298970346436402	0.9307830907986381	2.4821280612369705	1.8	1.8
1.0008232277191214	0.532375875036093	0.8676824639014207	2.0	2.0	0.1	0.1	2.997725422294234	0.019999999999999993	16.583587403707266	1.3755475770772641e-12	1.1990871021557237	1.4529216943284307e-13	1.1990865267348514	5.528003151502864e-15	0.10016571531124624	9.926093823460188e-16	0	1.02062665832685	5.658142902139045	5.0074639225318345	26.277317246013393	1.2992368916379884	0.08283079134964855	-3.133254381604761	1.6468226334872524	1.64682215677341	1.0205643564505	3.133254381604761	2.0	2.0
1.0009646288564737	0.49232868512717515	0.8786939085219536	2.2	2.2	0.1	0.1	2.997725422294234	0.019999999999999993	15.096877086566971	5.704587967983695e-13	1.0762204407214433	5.326325115823664e-14	1.0762199115225912	1.0466188762792443e-13	0.09052300652940017	3.48775028511447e-15	0	1.1110402091192773	6.563522185548676	6.285566445203515	28.440835349459057	1.9654770770834327	0.07811913243757979	-3.900206444326926	2.058860486508275	2.058859866073465	1.1109468421733182	3.900206444326926	2.2	2.2
1.0012498421350897	0.42909785488523794	0.8958125263216115	2.6	2.6	0.1	0.1	2.997725422294234	0.019999999999999993	12.878495417364721	1.127419036043805e-12	0.8931051982979271	9.275082731990619e-15	0.8931048241055444	3.4183388224312417e-13	0.07630166920832053	1.6981749419413556e-14	0	1.29317370825294	8.629303807573661	9.531514528341722	32.823011281822126	0.6719954289273905	0.07029973942568744	-5.817435111810516	3.09867877396016	3.0986777792777547	1.2929884902676505	5.817435111810516	2.6	2.6
1.001538477814046	0.3812395164422276	0.9096384772878713	3.0	3.0	0.1	0.1	2.997725422294234	0.019999999999999993	11.302183718718249	3.3070132640541826e-12	0.7630138260842414	1.7603460906480734e-13	0.7630138342120178	5.135093838521927e-14	0.06633093323360184	1.0350967928457092e-15	0	1.4765066910434452	11.03380196824279	13.829504171233351	37.25406775075921	1.6349004575875312	0.06407208764487815	-8.299746381775876	4.464139684104	4.464138109610756	1.4761793515008435	8.299746381775876	3.0	3.0
1.0018287107202717	0.3436224654214719	0.9204870251594401	3.4	3.4	0.1	0.1	2.997725422294234	0.019999999999999993	10.125654199987714	2.6800596529421544e-11	0.6657929506631524	2.140320297636345e-12	0.6657925879528442	2.265591708209522e-13	0.05896899916744847	1.700814237429892e-14	0	1.6606391086603007	13.775986079660042	19.338461310702268	41.71614498540632	1.1741753630796972	0.058988763265208015	-11.401559072724206	6.1998817416138525	6.199879539378492	1.660105498003094	11.401559072724206	3.4	3.4
1.0021373733940107	0.3131858802114726	0.9293313108495165	3.8	3.8	0.1	0.1	2.997725422294234	0.019999999999999993	9.215686619677532	6.5025397412278434e-12	0.5904123319931125	1.3541266710901353e-12	0.5904122936539205	2.3046104970624886e-13	0.0533248896766194	4.887967923561054e-15	0	1.845326963090849	16.85516467617551	26.217235887952906	46.19873740810933	-0.3216231738049466	0.05475469475602882	-15.161759285772986	8.34941966695288	8.34941442086348	1.8445080724219391	15.161759285772986	3.8	3.8
1.0024360016069598	0.28803169566932807	0.9368185245247852	4.2	4.2	0.1	0.1	2.997725422294234	0.019999999999999993	8.492723860403997	4.2300100322330604e-13	0.530310592587003	3.576171198685031e-14	0.5303073511820389	1.2173692398880229e-14	0.04887299659142968	6.495131708496652e-16	0	2.030410313813706	20.270819865753715	34.624492046967276	50.69540323788018	1.6122239546370754	0.051168344479737886	-19.59915382667114	10.954950265937281	10.954943822273528	2.029211996011808	19.59915382667114	4.2	4.2
1.0027619392885017	0.2668858216859809	0.9432226467642275	4.6	4.6	0.1	0.1	2.997725422294234	0.019999999999999993	7.906284680677071	7.615842661587881e-13	0.48130413996825233	2.722580325097934e-14	0.4813178759981475	4.472470878579992e-14	0.045280663591957475	2.9926108862167964e-15	0	2.2157773190293373	24.022513242447424	44.71863097296403	55.20220654588966	1.0697346359712752	0.048087590410435005	-24.70868329942099	14.056850026149046	14.056836627133773	2.2140915385418873	24.70868329942099	4.6	4.6
1.003261861220945	0.248701613396957	0.9488829517227342	5.0	5.0	0.1	0.1	2.997725422294234	0.019999999999999993	7.421842403716051	1.1977469770454824e-13	0.44065685728298537	1.3376971683141504e-14	0.4406669542639686	1.3672231604790248e-14	0.04233033821986199	4.888187559801431e-16	0	2.4013448815777148	28.109816308493098	56.65774245791015	59.71704515999848	1.881389385534441	0.04540933955196869	-30.46050242170902	17.692638602859155	17.692594664312864	2.399053732023513	30.46050242170902	5.0	5.0
1.0000000257520347	1.4988524414599342	0.9999877174033521	0.01	0.01	0.2	0.2	2.997725422294234	0.019999999999999993	99837.9087317764	0.00021990745996632025	8370.3188439336	1.8437022107380772e-05	8370.318843927258	1.8408655802397898e-05	701.7668962053954	1.5433800924840094e-06	0	0.33361344973480916	1.3984861728834639	0.33367835364079423	11.927398319992397	4.192348980179788	0.23853588499106057	-0.2410946524598939	0.12054814034333501	0.12054814033078132	0.33361345007860826	0.2410946524598939	0.01	0.01
1.000002562316084	1.4977753291117224	0.9985896774268903	0.1	0.1	0.2	0.2	2.997725422294234	0.019999999999999993	1006.0912156805389	3.6404510913115826e-07	84.32052122949351	3.054934296509955e-08	84.32052122812547	3.0093501813128284e-08	7.0739538619411295	2.5252397063351585e-09	0	0.33630110060466745	1.408679933308462	0.34279769430554663	11.911264117333252	4.232689012436989	0.23697399194561977	-0.24690552438516208	0.1235346018412978	0.12353460057369173	0.3363011343393246	0.24690552438516208	0.1	0.1
1.0000100590340362	1.4938288966328264	0.992019593776268	0.2	0.2	0.2	0.2	2.997725422294234	0.019999999999999993	257.73003096566123	2.3412080680165312e-09	21.575734995792715	1.96861254861066e-10	21.575734996310697	2.043758381662352e-10	1.8133115370859048	1.7198820894200085e-11	0	0.344390036478439	1.4394190842036456	0.37045514748900815	11.874271256124718	4.398880467385634	0.2319623983146785	-0.26450331402272736	0.13258247868722578	0.13258247369806067	0.34439016427438207	0.26450331402272736	0.2	0.2
1.0000217505824427	1.4853098257118313	0.9738064265219781	0.3	0.3	0.2	0.2	2.997725422294234	0.019999999999999993	119.48939608174072	1.009154141650436e-09	9.982013263178516	8.51448258075194e-11	9.982013264827135	8.905874626444721e-11	0.8410939848122023	7.509628720741249e-12	0	0.35768438003240066	1.4901112768928646	0.4166487329083247	11.8573626113829	5.11894061830086	0.22284149726424513	-0.2938122013560045	0.14766351870155736	0.1476635074216327	0.3576846453207639	0.2938122013560045	0.3	0.3
1.00003618887818	1.4703025773328844	0.9405587143599062	0.4	0.4	0.2	0.2	2.997725422294234	0.019999999999999993	71.25021915397689	5.357967466683656e-10	5.9336428867776245	4.598356833614472e-11	5.9336428900257925	2.872734421732174e-11	0.5014852456963005	2.4570756483325208e-12	0	0.37590934378859586	1.5598958841749389	0.48158899187893855	11.936482821167132	4.000435233832166	0.20893551075537992	-0.3348521523155137	0.16880533829340866	0.16880531769250634	0.37590977635106343	0.3348521523155137	0.4	0.4
1.000051467645648	1.447417026492869	0.8996650618815388	0.5	0.5	0.2	0.2	2.997725422294234	0.019999999999999993	48.85552100692249	2.776632586405699e-12	4.052373200762362	2.3506523167574467e-13	4.052373206220727	2.0906216735698467e-13	0.3436264174420406	1.4833719190535024e-14	0	0.3987153251554826	1.6476195025359284	0.5656660567455588	12.216665990822717	3.087090922819546	0.18992953187457357	-0.3877333754747313	0.19608773352318534	0.19608769916939398	0.3987159538567867	0.3877333754747313	0.5	0.5
1.0000656876650773	1.415879910379779	0.8606233139674557	0.6	0.6	0.2	0.2	2.997725422294234	0.019999999999999993	36.47470823785032	2.828022896794187e-11	3.0113904313698767	1.973576719436065e-12	3.0113904396925784	3.5683580768733157e-12	0.25631259216468816	3.4706957750894246e-13	0	0.42572280675637725	1.7520190461040306	0.6694844051084718	12.813972823545813	4.311347188488771	0.16597644120287922	-0.45269395378757044	0.22966103770158508	0.22966098264897683	0.4257236504353344	0.45269395378757044	0.6	0.6
1.0000772798790416	1.3750572453839789	0.8280734952032981	0.7	0.7	0.2	0.2	2.997725422294234	0.019999999999999993	28.713279891875093	2.0383699118184145e-11	2.3586111724488097	1.7288372627754766e-12	2.3586111843976174	1.727238938006353e-12	0.20166154801749553	1.462825192806455e-13	0	0.45655588719025464	1.87191085991786	0.7938662637701686	13.83692434840535	29.846702757656743	0.1376102800231598	-0.5301119879523545	0.26975157841500835	0.269751492559698	0.4565568601753866	0.5301119879523545	0.7	0.7
1.0000851796326464	1.3237872089489169	0.8036219084528308	0.8	0.8	0.2	0.2	2.997725422294234	0.019999999999999993	23.34586091188452	2.141567735219005e-11	1.9074444964192947	1.845328860604166e-12	1.9074445129133826	2.1166829705193382e-13	0.16404046770261074	3.4645493769225936e-14	0	0.4908512729807035	2.006331564714763	0.9398404427430919	15.372122551668623	3.89046249864265	0.10570055106556787	-0.6205034149180783	0.3166601146967451	0.31665998499640186	0.49085192129716376	0.6205034149180783	0.8	0.8
1.0000892392156882	1.2597260865202147	0.788939593326119	0.9	0.9	0.2	0.2	2.997725422294234	0.019999999999999993	19.32612769277857	2.5241864017359295e-11	1.5699316483214818	3.5199073575995536e-12	1.5699316704739168	1.3661950180263857e-12	0.13608046242304425	4.905941489231945e-16	0	0.5282433746648247	2.1546718846938377	1.1086389378447468	17.464129343361215	2.4549712237335224	0.07168937660016607	-0.7245242434187987	0.37076284630661466	0.37076265774993894	0.528242385906125	0.7245242434187987	0.9	0.9
1.0000918844488287	1.178814364808277	0.7899136037246682	1.0	1.0	0.2	0.2	2.997725422294234	0.019999999999999993	16.112395638255563	4.4618399510067387e-13	1.3000662147963802	4.693432986446162e-14	1.3000662440268083	7.098895669531079e-13	0.11392205163157076	6.203824502279977e-14	0	0.5683271136907232	2.316945416212984	1.3017207768302013	20.06068297012765	1.9727265905226945	0.03844803707938116	-0.842996010831742	0.4325245857728096	0.43252431842527794	0.5683219016804051	0.842996010831742	1.0	1.0
1.0001037743187713	1.0758942436575047	0.8235559191825229	1.1	1.1	0.2	0.2	2.997725422294234	0.019999999999999993	13.417234368504321	3.714068284745825e-12	1.0723560116725381	3.189269503336847e-13	1.0723560498170939	2.273066846661967e-13	0.09539043525903526	1.6121983356455857e-14	0	0.6105891568531701	2.494548803682917	1.520846189024048	22.858687178642988	1.502239530067087	0.012354416564447872	-0.9769804654573501	0.502537444166707	0.5025370587374469	0.6105774804895142	0.9769804654573501	1.1	1.1
1.0001598366679696	0.9527599545410453	0.8262856128917313	1.2	1.2	0.2	0.2	2.997725422294234	0.019999999999999993	11.154946121819782	1.594139295191803e-11	0.8766958237904922	2.454722367723791e-12	0.8766958725713904	5.927159157791469e-12	0.07946270613356102	6.2368081306384e-13	0	0.6542822453872941	2.6923279046978204	1.7682429453300137	25.01892207463546	0.8292191119079995	0.005709297205651976	-1.127953690979697	0.5816109617252141	0.5816103969935555	0.6542686345771712	1.127953690979697	1.2	1.2
1.0003391257890462	0.8424914366261576	0.8185438992486921	1.3	1.3	0.2	0.2	2.997725422294234	0.019999999999999993	9.48632569939761	4.852291956439454e-12	0.725040951807224	4.2709889025117973e-13	0.7250410064184861	2.9828787213363855e-13	0.06679004821884556	2.676028429538013e-14	0	0.6983688051794179	2.9203416684837817	2.0468091609962227	25.675420433107323	29.910986160785537	0.024232745940915637	-1.2979888328672056	0.6708679477732951	0.6708671835859409	0.6983587822327284	1.2979888328672056	1.3	1.3
