SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	Ttt	Txx	Tyy	rho	EInternal	T	Ax	Ay	Gx	Gy	mu	Q
121.24938747297173	1.6709441989781748e-11	0.47319638617819765	1.29471450562705e-13	0.4732055688223098	1.3387786574234212e-14	0.0030854461221063614	7.498017886295638e-17	0.0	0.00743260536468044	0.7311573768889371	18.0335077935907	18.334513796948574	-36.36802159053926	10.209226891922512	-18.0335077935907	0.011500000000000002	2.0	2.0	0.1	0.1	249.6737454967223	143.65007132656584
116.60952199412067	4.3477618727472134e-10	0.496799326669436	8.792166711156655e-13	0.496806796761435	2.9009393958184635e-12	0.003524793340580826	6.4093492126137644e-15	0.0	0.007899270579542723	0.7631322577346382	144.88856273670208	145.18971698473848	-290.0782797214406	10.206920979613276	-144.88856273670208	0.012	2.0	2.0	0.1	0.1	229.37147117314964	131.92862453429396
100.91423906447322	2.3010827544366758e-07	0.5916994506664418	2.065846875297656e-09	0.5917016735917772	2.139568526825715e-09	0.005732433703352853	1.8470629658450056e-11	0.0	0.010052888639442557	0.8921112118495975	443.4364709011877	443.7353193317542	-887.1717902329419	10.315680161703431	-443.4364709011877	0.014	2.0	2.0	0.09999999999999999	0.09999999999999999	168.7465562932672	96.92715271907312
94.48626731031726	8.890735370137293e-13	0.6387641831833181	4.477744708407231e-13	0.638765415743122	3.635309966588515e-13	0.00711421122279799	5.286658431657674e-15	0.0	0.011334353056661492	0.9566432873491856	471.3474009540106	471.64477451236	-942.9921754663707	10.360173895881779	-471.3474009540106	0.015000000000000001	2.0	2.0	0.09999999999999999	0.09999999999999999	147.10800790473036	84.43431970194814
81.47849186135915	9.156868405885144e-11	0.7567781227030513	4.3845426804465824e-13	0.756781138916804	1.3747458409543335e-12	0.011513169223206233	8.748041615108216e-15	0.0	0.015015243442005657	1.119426854485031	376.866382956037	377.16188849690326	-754.0282714529403	10.41709228874571	-376.866382956037	0.0175	2.0	2.0	0.10000000000000002	0.10000000000000002	108.3075251069757	62.0333777402068
71.64804253431882	1.3260221696717589e-11	0.8761780022649636	5.518767281587902e-13	0.8761863285939685	3.179093929071421e-13	0.017470334247058086	1.1072161305982891e-14	0.0	0.01933203583450102	1.2842668207921537	282.31021545272176	282.6065256408159	-564.9167410935377	10.4261260427736	-282.31021545272176	0.02	2.0	2.0	0.09999999999999999	0.09999999999999999	83.12406323694964	47.49430483234583
63.98543855629886	9.49945037995864e-12	0.997255496676348	3.0529653219720415e-14	0.997269698664835	2.0044306061633042e-13	0.0252470865699089	1.0784552601196699e-14	0.0	0.024249460356246554	1.450859937767925	256.15300875986924	256.4516372933095	-512.6046460531787	10.41790832058323	-256.15300875986924	0.022499999999999996	2.0	2.0	0.09999999999999999	0.09999999999999999	65.85790118400057	37.526364311976955
57.857233190780235	6.815121139950794e-11	1.1200930820293755	1.1951228443739378e-12	1.120112118563412	1.4558398115232234e-12	0.03511068048535733	2.720414984473249e-14	0.0	0.02974613882004412	1.6189411274269945	261.0769456498434	261.37857132260604	-522.4555169724493	10.405586324607738	-261.0769456498434	0.024999999999999994	2.0	2.0	0.09999999999999999	0.09999999999999999	53.5070488257657	30.39635509270133
48.69290372551101	1.0012839711005805e-10	1.3712020644644685	1.3572688112655043e-12	1.3712265577958391	5.4481452278948196e-12	0.062199763872157886	9.147914098026879e-14	0.0	0.042414914138486665	1.9588121661588902	274.04219464926865	274.3507401783436	-548.3929348276123	10.378374489466196	-274.04219464926865	0.030000000000000002	2.0	2.0	0.09999999999999999	0.09999999999999999	37.417137506608974	21.108579925487035
42.19170275320606	8.107258354234093e-13	1.6297409056214662	4.625214434382388e-14	1.6297672472391402	1.0771592315216795e-13	0.10100682854961135	5.38399626695532e-15	0.0	0.057228386741908985	2.3028707135149755	277.9610387928709	278.2774977638627	-556.2385365567336	10.348172614404426	-277.9610387928709	0.035	2.0	2.0	0.1	0.1	27.71373801300994	15.5083444350517
37.35868231052134	5.482079633994941e-13	1.8959161413425412	6.339303164456002e-14	1.8959429384783801	9.805279129287125e-15	0.15390722301145343	1.805373583941309e-15	0.0	0.0740847445908229	2.6505952285381724	280.6697098936471	280.9951934345357	-561.6649033281828	10.314356049795691	-280.6697098936471	0.04	2.0	2.0	0.09999999999999999	0.09999999999999999	21.414158039296566	11.873576208086458
33.637091042377754	2.8179034084439836e-12	2.1699186342178125	4.864310820488144e-14	2.1699452689137693	3.751304548474186e-13	0.22338186544958144	4.514754541793169e-15	0.0	0.09288203500266089	3.0017009327258632	283.4705811212618	283.8063062335657	-567.2768873548274	10.27688951581981	-283.4705811212618	0.04499999999999999	2.0	2.0	0.09999999999999999	0.09999999999999999	17.093493694914624	9.381591077994239
30.69146642108782	3.300674078672572e-13	2.451911595877548	8.367884396850696e-15	2.4519375486571704	8.670796341166322e-14	0.31201729103856995	5.005823623602672e-15	0.0	0.11351689666837408	3.3560345154086817	286.33367450172506	286.6809251418989	-573.0145996436239	10.235959150729375	-286.33367450172506	0.04999999999999999	2.0	2.0	0.1	0.1	14.001275544296817	7.599088773175333
