SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	Ttt	Txx	Tyy	rho	EInternal	T	Ax	Ay	Gx	Gy	mu	Q
13319.801213353621	7.764105212882191e-06	11.069285319004607	6.440526335211369e-09	11.069285319146216	6.6468527792335316e-09	0.00922482421944541	5.512795528866035e-12	0.0	0.0002928732177848508	0.1242652970489825	-0.7929402299785853	-0.5039784547294521	1.2969186847080376	0.7656115598336435	0.7929402299785853	0.004	0.2	0.2	0.1	0.1	2057.4295691322045	1187.3576208086458
6158.898139930408	5.6945298858692654e-05	11.527596831359059	1.0689528588350966e-07	11.527596832303388	1.0770811382324911e-07	0.021668022676949745	2.0219163504268218e-10	0.0	0.0006498980263185708	0.18377771355087763	-1.452749480519487	-1.1634137097684665	2.616163190287953	0.7415335216396647	1.452749480519487	0.006	0.2	0.2	0.09999999999999999	0.09999999999999999	914.8939381845995	527.7144981371758
4092.1659620568844	1.6503067298920954e-07	13.618050535505306	5.526150275486295e-10	13.61805053555671	5.469660904365356e-10	0.04554072181611463	1.830836624546041e-12	0.0	0.0011547145832776543	0.24495207694573554	0.08461546207168678	0.37470459582803717	-0.4593200578997238	0.7403460835294848	-0.08461546207168678	0.008	0.2	0.2	0.1	0.1	515.006228756435	296.83940520216146
3117.796212646518	8.187492157407487e-08	16.212671002947612	4.3854642701476283e-10	16.212671002993808	4.222586765436165e-10	0.08474455605700998	2.2631655515807165e-12	0.0	0.001804465974050622	0.30646710699395363	1.5127995792205555	1.8038021582399044	-3.3166017374604597	0.7419629340714181	-1.5127995792205555	0.01	0.2	0.2	0.1	0.1	329.91508490877163	189.97721932938333
2529.679299229151	9.702836143484633e-08	18.94399427778152	7.220834074971977e-10	18.943994277861666	7.532790168794892e-10	0.1426275630139882	5.603857718115215e-12	0.0	0.002598569446722881	0.36820711076503443	2.0751937350372147	2.3672129795225887	-4.4424067145598025	0.743028055649395	-2.0751937350372147	0.012	0.2	0.2	0.1	0.1	229.37147117314964	131.92862453429396
2128.409970585292	8.5168260274349e-08	21.69691811623462	8.672338721188338e-10	21.696918116251027	8.581213255398504e-10	0.2223938409736155	8.738291889986536e-12	0.0	0.0035369222758090315	0.43019256532584493	2.1384591547795213	2.431645272495068	-4.570104427274589	0.7438368557402206	-2.1384591547795213	0.014	0.2	0.2	0.09999999999999999	0.09999999999999999	168.7465562932672	96.92715271907312
1971.0319611984291	7.45292205121123e-10	23.06670804563896	9.6857740864589e-12	23.066708045634634	5.498985590037981e-12	0.2714465205889432	7.776377273742444e-14	0.0	0.00406017964353642	0.4612884695352739	2.0984670789506623	2.3923056385311927	-4.490772717481855	0.744233403886791	-2.0984670789506623	0.015000000000000001	0.2	0.2	0.09999999999999999	0.09999999999999999	147.10800790473036	84.43431970194814
1660.2963273480611	3.129741835703262e-09	26.450245589531907	4.954014297526561e-11	26.45024558949555	5.364097332667838e-11	0.4237778205924557	8.487104373079049e-13	0.0	0.005526018977943559	0.5393668707525239	1.964581711418943	2.260265887867665	-4.224847599286608	0.745307378651471	-1.964581711418943	0.0175	0.2	0.2	0.10000000000000002	0.10000000000000002	108.3075251069757	62.0333777402068
1429.9712922605895	2.4264639814748027e-07	29.758772124932207	5.034784086655997e-09	29.75877212499082	5.123863205491536e-09	0.6229062483022063	1.0639874996917478e-10	0.0	0.007217061143769918	0.6179877480168955	1.8644267204613831	2.1622618987095925	-4.026688619170975	0.7465432671095062	-1.8644267204613831	0.02	0.2	0.2	0.09999999999999999	0.09999999999999999	83.12406323694964	47.49430483234583
1252.0330061626398	8.403424196518766e-09	32.98134178250966	2.2025224275656061e-10	32.981341782388704	2.1412093882980688e-10	0.8739704394698274	5.6113215045874225e-12	0.0	0.009133191543651617	0.6972237229998498	1.8077993337194898	2.108085213914076	-3.915884547633566	0.7479496934719836	-1.8077993337194898	0.022499999999999996	0.2	0.2	0.09999999999999999	0.09999999999999999	65.85790118400057	37.526364311976955
1110.2751682598523	4.000639026221359e-09	36.11247942110027	1.300932268263263e-10	36.1124794209252	1.257493446147826e-10	1.1817272568070996	4.0926430475597376e-12	0.0	0.011274277309236021	0.777146324345702	1.779034230485419	2.0820682845674434	-3.861102515052863	0.7495229384626223	-1.779034230485419	0.024999999999999994	0.2	0.2	0.09999999999999999	0.09999999999999999	53.5070488257657	30.39635509270133
898.4423563696362	6.676765105964426e-09	42.09135174365791	3.154873814832096e-10	42.0913517433674	3.1596999290859405e-10	1.984496299298463	1.4982616857972483e-11	0.0	0.016230707333453807	0.9393312113947804	1.7592617242777664	2.0686904880704864	-3.827952212348253	0.7531527303312997	-1.7592617242777664	0.030000000000000002	0.2	0.2	0.09999999999999999	0.09999999999999999	37.417137506608974	21.108579925487035
747.7362314520182	3.2630643727413894e-10	47.692157258165714	2.056055823362689e-11	47.69215725774675	2.142069186101108e-11	3.0621921217925276	1.3467115805533287e-12	0.0	0.022085005569053833	1.1050878639033557	1.7579386163179738	2.074980086873118	-3.8329187031910914	0.7574044891662814	-1.7579386163179738	0.035	0.2	0.2	0.1	0.1	27.71373801300994	15.5083444350517
635.2291346427179	2.3590028557949824e-10	52.929609312094875	1.948061548856816e-11	52.92960931153336	1.9594896599370583e-11	4.441169571178106	1.6157926692634936e-12	0.0	0.028835644033884836	1.27493731867875	1.7632072913623136	2.0891082878116363	-3.8523155791739496	0.7622554278333133	-1.7632072913623136	0.04	0.2	0.2	0.09999999999999999	0.09999999999999999	21.414158039296566	11.873576208086458
548.3092835392555	2.198576168127228e-10	57.83142489834234	2.391676168225937e-11	57.831424897634726	2.1764283890913824e-11	6.144508440504996	2.375527947269938e-12	0.0	0.036480947553035686	1.4493744805512707	1.7720364002778028	2.108075907959929	-3.880112308237732	0.7676839240448834	-1.7720364002778028	0.04499999999999999	0.2	0.2	0.09999999999999999	0.09999999999999999	17.093493694914624	9.381591077994239
479.43644251340186	3.229788906483101e-09	62.43458167670058	3.905996937146779e-10	62.434581675880715	4.293133573699481e-10	8.193497354512642	5.189201396895424e-11	0.0	0.045019129065862896	1.6288672519646463	1.7834682421627805	2.130961054242973	-3.914429296405754	0.773668347001722	-1.7834682421627805	0.04999999999999999	0.2	0.2	0.1	0.1	14.001275544296817	7.599088773175333
