SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	Trace	TRatio	Omega	rho	S	T	Mu	EInternal	Txx	Tyy	murh	ax	Gmu	ay	Ax	Ay	Gx	Gy	mu	Q
1186936.4548961874	0.04388887227021533	6247.579282667447	0.00023101616907150938	6247.579282684133	0.00023100085606650954	32.88524959048435	1.2159096985932033e-06	0.0	0.0017547209713944796	3.215577943211198e-05	8.289224194885196e-05	-0.1971814068844597	0.5789095307986016	0.6094118419186509	0.01	1.0	0.3879226653316177	0.19397741064368457	0.19397741046736522	329.91508490877163	0.01	3.03108298390333e-05	0.01	0.01	0.01	0.1	0.1	329.91508490877163	189.97721932938333
996516.2415876838	0.02651597228446196	5245.262342702899	0.00013957122623371455	5245.262342745145	0.00013959915709385517	27.60934291058077	7.348036080898633e-07	0.0	0.001754718111783652	3.276224353216961e-05	8.445559383473463e-05	-0.19718118205296503	0.5789085073668118	0.6094134447244162	0.01	1.0	0.38792271825451613	0.1939777414791763	0.193977739018872	329.91508490877163	0.01	3.03108298390333e-05	0.01	0.01	0.01	0.2	0.2	329.91508490877163	189.97721932938333
1054126.5856996528	2.498767535008482	5548.51728435317	0.013152682019679035	5548.517285486189	0.013153719341751623	29.205645792246624	6.923678076530889e-05	0.0	0.001754701596705328	3.259172836222721e-05	8.401589471159886e-05	-0.19718066070565246	0.5789028269174091	0.609416175046057	0.01	1.0	0.3879233622888234	0.1939779884802287	0.19397796553695695	329.91508490877163	0.01	3.03108298390333e-05	0.01	0.01	0.01	0.4	0.4	329.91508490877163	189.97721932938333
3504233.920738386	14.821503261966987	18445.132854161828	0.07801602112089222	18445.132850872124	0.07801898015169238	97.08948529010092	0.00041066900121236675	0.0	0.0017546747757189293	3.003164432263983e-05	7.74162343610078e-05	-0.19718394310573453	0.5788937772646174	0.6094148261938499	0.01	1.0	0.3879243749133561	0.19397722896488823	0.19397717759279048	329.91508490877163	0.01	3.03108298390333e-05	0.01	0.01	0.01	0.6	0.6	329.91508490877163	189.97721932938333
451429570.2949596	1340.6862280095188	2376201.5592415067	7.0570051425933205	2376201.560253173	7.055859167390829	12507.674279528821	0.037140110401987836	0.0	0.0017546345622796	2.5258123243854413e-05	6.511078947411608e-05	-0.19721229693491638	0.5788803392987554	0.6094105881690038	0.01	1.0	0.3879253108103603	0.19397531433594906	0.19397525459765508	329.91508490877163	0.01	3.03108298390333e-05	0.01	0.01	0.01	1.0	1.0	329.91508490877163	189.97721932938333
1061766.9187157983	0.008241488439810742	6762.369712967156	5.249061032912113e-05	6762.36971292899	5.2594236977778775e-05	43.06989131397605	3.3497626260282233e-07	0.0	0.002123212635195471	3.248523987564643e-05	8.360296331838122e-05	-0.19814030875883032	0.5792276124079774	0.670721516096384	0.011	1.0	0.3885656510994045	0.19429906824653387	0.19429906809274627	272.80696168422435	0.01	3.6655956058683936e-05	0.01	0.01	0.01	0.09999999999999999	0.09999999999999999	272.80696168422435	157.0059663879201
892214.4289616419	0.0008336484711012199	5682.475086786378	5.309646991122998e-06	5682.475086827365	5.348936363850381e-06	36.19194786267555	3.406814837882933e-08	0.0	0.0021232091055450805	3.309988075241283e-05	8.518479512627583e-05	-0.19814021133174392	0.5792265926278819	0.670723283109562	0.011	1.0	0.3885655967517018	0.1942993493934177	0.19429934723903652	272.80696168422435	0.01	3.6655956058683936e-05	0.01	0.01	0.01	0.19999999999999998	0.19999999999999998	272.80696168422435	157.0059663879201
937656.866431273	0.015158110028972781	5971.913395903519	9.654253070146387e-05	5971.913395837831	9.659580745276121e-05	38.03547865984307	6.152223196016092e-07	0.0	0.002123188910624857	3.290486760996747e-05	8.468288053165307e-05	-0.19814024149921539	0.5792209196870962	0.6707262430416712	0.011	1.0	0.3885657573689663	0.19429934132526996	0.1942993209113063	272.80696168422435	0.01	3.6655956058683936e-05	0.01	0.01	0.01	0.39999999999999997	0.39999999999999997	272.80696168422435	157.0059663879201
2990853.7032219204	0.7413120933878112	19048.8689068571	0.0047214508154312836	19048.86890558533	0.004719962254527444	121.32353090101846	3.006164758332978e-05	0.0	0.002123156298630509	3.029019342322812e-05	7.795379554786172e-05	-0.19814440687695536	0.5792118832115987	0.6707247383286168	0.011	1.0	0.38856598591957825	0.1942981615378653	0.19429811457513613	272.80696168422435	0.01	3.6655956058683936e-05	0.01	0.01	0.01	0.6	0.6	272.80696168422435	157.0059663879201
332910140.14366007	1469.2707828627194	2120340.5425984985	9.357944319770192	2120340.542979063	9.3587760346159	13504.677824502995	0.059607055491019786	0.0	0.0021231076548266946	2.547552943499946e-05	6.556309197399788e-05	-0.19817489741772937	0.5791985026010289	0.6707200447929702	0.011	1.0	0.38856510069877387	0.19429531777005343	0.19429525845815543	272.80696168422435	0.01	3.6655956058683936e-05	0.01	0.01	0.01	1.0	1.0	272.80696168422435	157.0059663879201
