SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	Trace	TRatio	Omega	rho	S	T	Mu	EInternal	Txx	Tyy	murh	ax	Gmu	ay	Ax	Ay	Gx	Gy	mu	Q
7848.983687387806	1.1021232149766372e-06	6.516723915909123	9.149380376826846e-10	6.516723915948424	9.097595052041537e-10	0.005435099291938595	7.555091728242722e-13	0.0	0.0002925911488605371	0.00998261150449762	0.026141002991393467	-0.2547951286583197	0.5951905282975657	0.24610947591693255	0.004	1.0	0.3818756115740565	0.1959292043038444	0.1959290187747097	2057.4295691322045	0.2	9.720867387181437e-05	0.2	0.2	0.2	0.2	0.2	2057.4295691322045	1187.3576208086458
4786.502578694537	4.227083371765965e-07	8.9423009857702	7.882258132460711e-10	8.942300985816903	8.083329366644375e-10	0.016789708568897235	1.507095377608047e-12	0.0	0.0006494747660334577	0.010666694730264395	0.028094447143013332	-0.25781172215841375	0.5946315709734975	0.36668122790209845	0.006	1.0	0.3796727045727626	0.1951701592016462	0.19516924010138076	914.8939381845995	0.2	0.0002186045744240637	0.2	0.2	0.2	0.19999999999999998	0.19999999999999998	914.8939381845995	527.7144981371758
3332.9652611376314	8.872752160727845e-07	11.068955617657098	2.9510778223606853e-09	11.068955617700087	2.9651471280933595e-09	0.03695927979680395	9.86282892169477e-12	0.0	0.0011539081350493655	0.01203070382804302	0.03180630665852706	-0.26095154853761693	0.59467000129208	0.4889868224333596	0.008	1.0	0.3782490044255946	0.19514040481743994	0.19513930343619773	515.006228756435	0.2	0.00038834481765964664	0.2	0.2	0.2	0.2	0.2	515.006228756435	296.83940520216146
2557.2191048834698	1.301371541258256e-08	13.271089645496989	6.772330637975129e-11	13.27108964552968	6.645173236376996e-11	0.06926188202315524	3.461841295120392e-13	0.0	0.0018031421601295942	0.013063405939145664	0.034404767328292986	-0.26210392105545144	0.5950784830577323	0.6117961337103662	0.01	1.0	0.37969755221692447	0.19638095358090527	0.19638000457516488	329.91508490877163	0.2	0.000606216596780666	0.2	0.2	0.2	0.2	0.2	329.91508490877163	189.97721932938333
2416.158987466858	1.295554798595635e-07	13.824850135155733	7.418022145850679e-10	13.824850135199506	7.466873485149403e-10	0.07955469095939359	4.2754335582128575e-12	0.0	0.001987993973363233	0.013170198806571002	0.03461289563030537	-0.26206523518976965	0.5952140967973274	0.6425626294442991	0.010499999999999999	1.0	0.3804997694281266	0.19683542959613515	0.19683453863856243	299.3230003879456	0.2	0.0006681745129535139	0.2	0.2	0.2	0.19999999999999998	0.19999999999999998	299.3230003879456	172.3149381672411
2289.5417157805578	1.1721890912780308e-08	14.378364639409012	7.291942690907047e-11	14.378364639447812	7.38194843100411e-11	0.09081566655909158	4.594956660762983e-13	0.0	0.002181857088572356	0.013217501866426413	0.03465119891977919	-0.26192686356483763	0.5953606759728214	0.6733557669474466	0.011	1.0	0.38144428702239663	0.1973313097925219	0.1973304790963011	272.80696168422435	0.2	0.0007331191211736788	0.2	0.2	0.2	0.19999999999999998	0.19999999999999998	272.80696168422435	157.0059663879201
2175.2117167026336	1.5666043569817142e-08	14.931146142141007	1.0779202153073886e-10	14.931146142177816	1.0838086368640986e-10	0.10308460527672564	7.457613722732056e-13	0.0	0.002384730178633722	0.013210180770800238	0.03453535740449034	-0.2617072912587797	0.5955174616360621	0.7041764525455114	0.011500000000000002	1.0	0.3825117723867143	0.19786136162354784	0.1978605915339667	249.6737454967223	0.2	0.0008010453786484555	0.2	0.2	0.2	0.2	0.2	249.6737454967223	143.65007132656584
2071.4313513079132	3.168850301667626e-07	15.482823026107619	2.382785666839309e-09	15.48282302614583	2.3787675175413787e-09	0.11640094465324391	1.7882085107662923e-11	0.0	0.0025966122843806678	0.013154015324660552	0.03428350876113681	-0.2614246298050372	0.5956838579943211	0.7350256890824315	0.012	1.0	0.38368346181566204	0.1984190938370664	0.19841838330325612	229.37147117314964	0.2	0.0008719480194161658	0.2	0.2	0.2	0.2	0.2	229.37147117314964	131.92862453429396
1976.7830403267396	1.9127461308495602e-07	16.03311445632807	1.5624113084347251e-09	16.033114456353992	1.5667284279499717e-09	0.1308038051385564	1.2803746194474593e-11	0.0	0.00281750265127642	0.013055125199459517	0.03391454353116569	-0.26109594592039786	0.5958593975544957	0.7659045383667467	0.012499999999999997	1.0	0.3849417931119297	0.19899878567164647	0.19899813263974275	211.45637753765845	0.2	0.0009458215558638416	0.2	0.2	0.2	0.19999999999999998	0.19999999999999998	211.45637753765845	121.58542037080532
1890.097673185645	9.331895841789214e-09	16.58181032755598	8.182698820285038e-11	16.581810327592645	7.742841919238747e-11	0.14633201871094212	6.788111293091194e-13	0.0	0.003047400629770251	0.012919585217167072	0.03344696596247439	-0.2607368670142494	0.5960437134131444	0.7968140983166228	0.012999999999999998	1.0	0.3862707676284336	0.19959547555662555	0.19959487728897513	195.56836600749511	0.2	0.0010226602803049194	0.2	0.2	0.2	0.2	0.2	195.56836600749511	112.41255581620315
