SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	Ttt	Txx	Tyy	rho	EInternal	T	Ax	Ay	Gx	Gy	mu	Q
138.1785950859043	6.32704097978682e-09	0.4791204514173609	1.4838185548765473e-11	0.4791180412716252	3.6342031736267625e-11	0.0026025125317139922	8.570886500640362e-14	0.0	0.005587970619826247	0.6041662282596296	-102.44291011852562	-102.1450078941857	204.58791801271127	9.012871820502783	102.44291011852562	0.010499999999999999	1.8	1.8	0.09999999999999999	0.09999999999999999	299.3230003879456	172.3149381672411
132.66029592564553	4.2176151373446435e-10	0.505475756417263	1.5157344132465424e-12	0.5054730567959378	2.7390573026811193e-12	0.0030011590166203216	9.83370488536004e-15	0.0	0.006040168302013103	0.6321346048599663	2.9519496447654614	3.2510484815835703	-6.202998126349041	8.965378470088586	-2.9519496447654614	0.011	1.8	1.8	0.09999999999999999	0.09999999999999999	272.80696168422435	157.0059663879201
127.40411590253126	3.7847586262934607e-10	0.5317768554823054	1.902987048837608e-12	0.5317740550287272	1.9804228736483297e-12	0.00344923332016239	1.0653573850262442e-14	0.0	0.006467240146670661	0.6614016584105452	97.27779483981823	97.577487543632	-194.85528238345023	8.965868872658612	-97.27779483981823	0.011500000000000002	1.8	1.8	0.1	0.1	249.6737454967223	143.65007132656584
122.4793607697678	4.4244083787295385e-09	0.5579120416765572	3.5639384734709664e-11	0.5579094872538569	3.239345411832394e-11	0.003942065413507054	2.5464016546039723e-13	0.0	0.0069137665859853375	0.6907441959339795	178.15359135467446	178.45340361337026	-356.6069949680447	8.984996262036699	-178.15359135467446	0.012	1.8	1.8	0.1	0.1	229.37147117314964	131.92862453429396
105.88409100850683	5.74554196537333e-10	0.6615807007034707	6.443397838814203e-12	0.6615819401983225	5.847486889836729e-12	0.006378329164754024	6.602870266293552e-14	0.0	0.009006735621945716	0.807921731984212	341.07892979287965	341.37688251338943	-682.4558123062691	9.078928793248478	-341.07892979287965	0.014	1.8	1.8	0.09999999999999999	0.09999999999999999	168.7465562932672	96.92715271907312
99.13547027221732	8.94799376737962e-10	0.7134525327472051	4.0270121282827295e-12	0.7134564832520751	9.712409002957703e-12	0.007905660846781931	4.2847926693583954e-14	0.0	0.010214503732073379	0.8668614113119233	341.81968631844734	342.11649350758864	-683.9361798260361	9.109970473575931	-341.81968631844734	0.015000000000000001	1.8	1.8	0.09999999999999999	0.09999999999999999	147.10800790473036	84.43431970194814
85.50779568583451	8.160380357558061e-12	0.8440047010373313	1.0953641231645549e-14	0.8440150296010073	2.763224840174619e-13	0.01277129457904852	2.8975905041469355e-16	0.0	0.013647446954664327	1.0156637399312798	263.6042520472332	263.89980680457734	-527.5040588518106	9.144898473855704	-263.6042520472332	0.0175	1.8	1.8	0.10000000000000002	0.10000000000000002	108.3075251069757	62.0333777402068
75.21925507099583	1.6578589954845124e-11	0.9763069902230029	3.338605558903855e-14	0.9763216895415089	7.918626434699181e-13	0.019359563309777363	4.807112690881586e-15	0.0	0.01764440265692962	1.166324392825066	208.87930210443315	209.17590700316026	-418.05520910759344	9.146265213152784	-208.87930210443315	0.02	1.8	1.8	0.09999999999999999	0.09999999999999999	83.12406323694964	47.49430483234583
67.20000290625856	5.485798685971044e-11	1.1104944518400155	1.0266100696554476e-12	1.1105116513633833	1.1984877695966058e-12	0.027956750177809107	2.435746723221214e-14	0.0	0.022182488852785273	1.3185657191123592	198.03565091094424	198.3346130088	-396.37026391974416	9.137309810415754	-198.03565091094424	0.022499999999999996	1.8	1.8	0.09999999999999999	0.09999999999999999	65.85790118400057	37.526364311976955
60.78566341935387	4.206616413711395e-11	1.2466099430761657	1.0066458350980632e-13	1.2466285453474097	8.698815020094146e-13	0.03885611266741568	2.1731539488466216e-14	0.0	0.027246795992404753	1.4721702175606732	202.18870789514642	202.4906343362881	-404.67934223143453	9.125993285193982	-202.18870789514642	0.024999999999999994	1.8	1.8	0.09999999999999999	0.09999999999999999	53.5070488257657	30.39635509270133
