SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	Ttt	Txx	Tyy	rho	EInternal	T	Ax	Ay	Gx	Gy	mu	Q
1157.7358960638344	5.508176727122942e-09	24.056977321888525	1.1478911295416668e-10	24.056977321925995	1.1454855142242474e-10	0.5030575566827651	2.386554880913393e-12	0.0	0.007211396880282164	0.6192331649475168	1.8757614310866848	2.1736107468603536	-4.049372177947038	0.7418698329401936	-1.8757614310866848	0.02	0.2	0.2	0.19999999999999998	0.19999999999999998	83.12406323694964	47.49430483234583
530.9157624989843	6.730023069948443e-08	10.857582135079841	1.3786442081487595e-09	10.85758213533515	1.4095161016337184e-09	0.22530226869008516	2.8859745147202376e-11	0.0	0.00745012225417214	0.6256968801165737	4.472854248127792	4.7707210498690715	-9.243575297996863	0.9378512355081119	-4.472854248127792	0.02	0.3	0.3	0.19999999999999998	0.19999999999999998	83.12406323694964	47.49430483234583
311.98729479211636	6.656367607170248e-10	6.24704387202443	1.3734193318703036e-11	6.247043873290249	1.244897366199018e-11	0.12844629187917614	2.561109031694756e-13	0.0	0.007779171045646239	0.6348711007966924	8.122011580019022	8.419915406493049	-16.54192698651207	1.2079283001462284	-8.122011580019022	0.02	0.4	0.4	0.19999999999999998	0.19999999999999998	83.12406323694964	47.49430483234583
210.733921120704	1.9020680802151e-09	4.115331644767237	3.9029574062426125e-11	4.115331649063622	3.8458266148625954e-11	0.0838319998931463	7.888787119161105e-13	0.0	0.008192956074373838	0.646653106150081	12.846691443040367	13.144665044845556	-25.99135648788592	1.5474428011824481	-12.846691443040367	0.02	0.5	0.5	0.19999999999999998	0.19999999999999998	83.12406323694964	47.49430483234583
155.5070706539737	7.528287200309893e-10	2.9538866536962556	1.4775985376897885e-11	2.953886665061376	1.4606314329208904e-11	0.059681135038698	2.866736980183223e-13	0.0	0.008684520145719347	0.6607615939671814	18.6867642665322	18.984854995735365	-37.67161926226757	1.9505712673370725	-18.6867642665322	0.02	0.6	0.6	0.19999999999999998	0.19999999999999998	83.12406323694964	47.49430483234583
121.77552579871718	4.696339822156956e-10	2.245855490644643	9.619831165941351e-12	2.245855516152645	9.775503028661244e-12	0.04509736122897354	1.9953685922192913e-13	0.0	0.00924610755279203	0.6767973401921619	25.699883259489688	25.99815156768542	-51.69803482717511	2.4107838877253824	-25.699883259489688	0.02	0.7	0.7	0.19999999999999998	0.19999999999999998	83.12406323694964	47.49430483234583
99.29346608973265	2.6034020358473237e-10	1.7750790603965596	4.685634943558946e-12	1.7750791118192988	5.024026780130758e-12	0.03552450086639751	9.128813369183981e-14	0.0	0.009869399669703242	0.6943419011456314	33.96232262890011	34.26083947862742	-68.22316210752753	2.921028381656745	-33.96232262890011	0.02	0.8	0.8	0.19999999999999998	0.19999999999999998	83.12406323694964	47.49430483234583
83.13092215678114	6.517772812349859e-12	1.4373074658470042	1.3397397314793638e-13	1.4373075624415799	5.502725858490298e-13	0.028776902468194168	9.607378266328324e-15	0.0	0.010545169562806895	0.7130913105322235	43.57263211564789	43.871478145508284	-87.44411026115618	3.4734383667058624	-43.57263211564789	0.02	0.9	0.9	0.19999999999999998	0.19999999999999998	83.12406323694964	47.49430483234583
70.65483374073546	2.077429712426409e-10	1.176096485554708	3.228659803078422e-12	1.176096658213896	3.9925672400817864e-12	0.023691049576010408	6.215654177877995e-14	0.0	0.011262463879793424	0.7331562052948399	54.66117363514538	54.96044238483519	-109.62161601998058	4.0586577733051765	-54.66117363514538	0.02	1.0	1.0	0.19999999999999998	0.19999999999999998	83.12406323694964	47.49430483234583
60.544228206346354	2.803697479801352e-10	0.9596232459641674	4.986676524344576e-12	0.959623538765237	5.1838634555626136e-12	0.019610610242523845	9.29848711145795e-14	0.0	0.012007996126077853	0.7559442751510508	67.40665851200245	67.70646587116053	-135.11312438316298	4.665340717440278	-67.40665851200245	0.02	1.1	1.1	0.19999999999999998	0.19999999999999998	83.12406323694964	47.49430483234583
